account_no,security_name,account_type,balance,created_at,user_id
012–0415–7264-6,미래에셋대우,DB,1384,2022-02-23,65
549791-477974,KB증권,DB,8827,2020-10-18,65
982313-924393,KB증권,종합,18517,2015-07-01,66
129-56-801294,신한투자증권,IRP,5885,2012-06-10,66
741–8841–6669-5,미래에셋대우,종합,500158,2010-06-23,66
3800-5619,키움증권,IRP,9672599,2015-09-06,66
0363-0435,키움증권,DC,7185866,2016-01-03,67
887-57-043405,신한투자증권,DC,65404159,2021-06-14,68
6545-3013,키움증권,DC,75920,2022-01-27,68
9226-8744,키움증권,DB,337022,2018-06-22,68
77657991-31,한국투자증권,종합,590,2024-03-25,69
037–6982–5425-2,미래에셋대우,종합,479,2015-11-30,70
80667969-05,한국투자증권,종합,9683931,2017-10-24,70
582-07-993607,신한투자증권,DC,35855284,2015-07-26,72
8150-7704,키움증권,DB,2476,2010-06-03,72
8376-2813,키움증권,IRP,4328,2014-10-06,73
88020664-28,한국투자증권,DC,3288,2010-12-22,73
932912-751043,KB증권,종합,2363668,2017-04-29,75
22307609-44,한국투자증권,DB,7817554,2015-12-12,75
159007-322083,KB증권,IRP,123,2017-11-19,75
120-01-677685,신한투자증권,종합,539236,2023-06-25,76
758-10-961519,신한투자증권,종합,7041201,2013-10-27,76
899–4193–3690-5,미래에셋대우,IRP,5333,2021-08-17,76
763691-126050,KB증권,종합,86824388,2014-11-16,77
42393350-99,한국투자증권,IRP,694,2022-09-02,77
020311-496729,KB증권,IRP,148,2017-10-25,77
124–0930–8448-4,미래에셋대우,IRP,36513,2014-03-31,77
603–1960–7103-1,미래에셋대우,종합,399,2020-11-27,77
5993-7091,키움증권,IRP,695077,2015-07-07,78
259517-428809,KB증권,종합,37560,2018-04-25,78
2751-1171,키움증권,종합,78372,2018-08-27,78
927-04-287479,신한투자증권,DB,4920979,2010-08-16,80
281-96-286019,신한투자증권,IRP,47270,2022-01-15,81
60909497-805,하나증권,DB,5927,2012-11-15,81
30265088-30,한국투자증권,IRP,30558350,2014-01-31,83
44350100-96,한국투자증권,종합,9021,2010-08-21,84
0069-0207,키움증권,IRP,454,2022-11-19,84
547-96-990197,신한투자증권,종합,9084797,2010-07-30,85
366-41-435712,신한투자증권,종합,98692208,2023-10-03,85
9195-4191,키움증권,IRP,42106,2013-09-27,85
091516-456453,KB증권,IRP,69963314,2012-09-05,85
99546275-11,한국투자증권,IRP,71767,2015-03-05,85
489-72-229610,신한투자증권,DB,98408,2012-03-07,86
3434-1848,키움증권,IRP,48463,2017-07-19,86
80211459-64,한국투자증권,DC,53340276,2020-04-12,86
092–1787–1106-3,미래에셋대우,종합,8377,2021-04-25,86
083492-288398,KB증권,DB,468755,2015-07-16,87
27260469-950,하나증권,DC,37902649,2011-01-20,87
41171877-80,한국투자증권,DB,985957,2021-08-30,87
2439-9131,키움증권,종합,442289,2010-02-07,87
641-26-306904,신한투자증권,종합,3910421,2011-09-25,87
1680-1632,키움증권,DC,208,2010-02-14,88
466-45-509807,신한투자증권,IRP,55,2015-03-31,89
85005738-24,한국투자증권,IRP,8265784,2022-09-19,89
29104941-95,한국투자증권,IRP,9400,2019-05-30,89
88964146-502,하나증권,종합,42566,2016-09-25,91
35967223-626,하나증권,종합,269,2017-12-29,91
2353-2411,키움증권,IRP,71631857,2012-02-13,92
56350641-15,한국투자증권,IRP,118,2012-01-01,92
307782-878880,KB증권,DB,320,2017-12-07,92
751–0674–3749-3,미래에셋대우,종합,48688599,2018-07-27,93
58000010-73,한국투자증권,DB,48118,2019-10-08,93
7018-6962,키움증권,DB,669232,2020-03-17,93
858-09-172815,신한투자증권,종합,762823,2018-09-26,93
36779182-139,하나증권,IRP,5610,2017-01-22,94
244–3731–9546-1,미래에셋대우,DC,934024,2013-12-30,94
91763491-88,한국투자증권,IRP,66841,2022-03-02,94
941348-199285,KB증권,DC,96520016,2018-02-06,96
87110278-040,하나증권,DB,5639880,2013-07-25,96
700–4796–6416-1,미래에셋대우,종합,7480617,2012-07-08,96
909–1984–8664-5,미래에셋대우,IRP,802,2014-01-30,97
7956-2976,키움증권,IRP,68,2010-06-09,97
078–4096–2542-7,미래에셋대우,IRP,63593944,2021-04-22,97
628-84-219333,신한투자증권,DC,15567829,2023-09-17,97
015-37-868273,신한투자증권,종합,631427,2020-06-26,98
156–9677–3386-0,미래에셋대우,DB,21833,2013-09-04,98
21762818-62,한국투자증권,종합,395588,2010-02-11,98
10147790-77,한국투자증권,DC,4448949,2019-10-11,98
416390-318912,KB증권,IRP,2757,2012-11-22,98
95266979-58,한국투자증권,종합,23516124,2019-08-25,99
497-79-481818,신한투자증권,종합,7446232,2022-06-30,99
544-39-489513,신한투자증권,종합,8850961,2021-06-15,99
044961-978299,KB증권,IRP,10130069,2011-03-03,99
250–3976–7745-2,미래에셋대우,IRP,5540858,2019-12-11,100
3649-8618,키움증권,IRP,2492,2010-02-17,100
253–0438–5223-1,미래에셋대우,DC,72980,2023-08-05,100
25633982-468,하나증권,DB,4344,2022-10-11,100
7294-7868,키움증권,DC,35505527,2012-12-17,101
6934-1139,키움증권,DC,69985188,2017-10-21,101
77928677-030,하나증권,DC,7680707,2023-06-14,102
9271-2143,키움증권,DB,73215,2012-03-21,102
72481549-32,한국투자증권,종합,146355,2016-01-18,102
5866-7914,키움증권,DC,21404,2021-10-30,102
9750-2366,키움증권,IRP,137265,2020-08-04,103
35278556-416,하나증권,종합,15640,2018-10-01,103
72817895-78,한국투자증권,종합,313,2011-05-20,103
6134-8260,키움증권,DB,5838,2016-09-29,103
19570427-61,한국투자증권,DB,45879777,2010-11-01,104
62441012-95,한국투자증권,DB,2376,2010-09-01,104
306-44-788899,신한투자증권,종합,30598917,2022-03-30,104
04786625-909,하나증권,DC,49676,2023-04-18,105
383524-881209,KB증권,종합,1298626,2022-06-10,106
58060623-55,한국투자증권,종합,249934,2022-11-14,106
315-75-909111,신한투자증권,종합,316643,2021-10-08,107
2650-3802,키움증권,종합,282252,2016-01-13,107
700–7083–6061-5,미래에셋대우,종합,96691023,2022-09-10,107
707-06-670577,신한투자증권,DC,291372,2011-09-09,108
839-23-828521,신한투자증권,DB,620879,2024-04-12,108
53645403-00,한국투자증권,DC,5201919,2019-06-12,108
20682617-05,한국투자증권,DC,99,2023-09-27,109
740–1165–2435-4,미래에셋대우,DC,4414046,2022-10-25,109
0303-9109,키움증권,종합,27008,2022-06-18,109
056–1027–4474-3,미래에셋대우,IRP,6258613,2022-03-22,111
69940390-265,하나증권,DC,671161,2023-10-07,112
900–4924–0452-8,미래에셋대우,DB,31435055,2023-06-24,112
458-66-048596,신한투자증권,IRP,9092739,2017-06-27,112
026-01-021802,신한투자증권,IRP,1433,2013-08-08,113
190–3600–1671-0,미래에셋대우,IRP,64621688,2015-09-07,113
11158880-932,하나증권,종합,26224090,2020-11-28,113
249-46-117445,신한투자증권,종합,7602474,2015-07-29,113
6145-7411,키움증권,IRP,46724567,2020-10-20,114
84714210-94,한국투자증권,IRP,243,2018-08-09,114
25516338-81,한국투자증권,IRP,7872717,2017-01-27,114
28320714-517,하나증권,IRP,9015,2014-02-16,114
903827-599704,KB증권,IRP,6410,2024-05-10,115
794463-544498,KB증권,IRP,67577,2017-02-06,115
346–2511–0236-0,미래에셋대우,종합,611,2014-01-13,115
860677-355912,KB증권,IRP,61526,2023-04-05,115
541-19-468083,신한투자증권,종합,554,2021-11-11,115
241-28-213672,신한투자증권,IRP,680,2017-02-21,116
840793-927913,KB증권,DB,9696,2021-11-02,116
59859971-89,한국투자증권,DB,9823501,2015-04-09,116
2534-3021,키움증권,IRP,73825040,2015-06-08,117
592900-925553,KB증권,IRP,136,2013-05-16,118
418–0611–3406-4,미래에셋대우,IRP,638740,2022-10-05,118
374–9320–7439-8,미래에셋대우,DC,5742,2014-11-16,118
9292-8478,키움증권,종합,799224,2018-11-12,119
4293-3000,키움증권,DB,4880822,2020-04-21,119
168–6643–1594-3,미래에셋대우,IRP,235398,2011-01-24,120
91631617-44,한국투자증권,종합,93185171,2021-06-27,122
608005-007793,KB증권,DC,52201385,2022-02-05,122
400806-738750,KB증권,종합,9979,2016-10-01,122
9216-9188,키움증권,DC,221449,2014-04-21,123
57703722-844,하나증권,종합,7388,2015-03-08,123
65647747-78,한국투자증권,IRP,93622,2013-03-01,123
22601010-07,한국투자증권,IRP,9204399,2016-10-20,123
9310-2574,키움증권,DC,1697,2020-05-21,123
119-35-022940,신한투자증권,IRP,9325009,2019-05-18,124
6484-2736,키움증권,IRP,490692,2015-11-27,125
276766-469489,KB증권,DC,18920776,2022-01-29,125
997–7686–9929-8,미래에셋대우,종합,66735617,2020-09-26,126
1232-6001,키움증권,종합,94511,2015-01-20,126
45066823-188,하나증권,IRP,40889,2016-08-08,126
36030052-24,한국투자증권,IRP,87025339,2011-02-18,126
57453691-384,하나증권,IRP,577,2011-08-07,126
556290-782177,KB증권,종합,5250041,2024-05-03,127
8206-0953,키움증권,IRP,53379,2018-06-08,127
5601-4717,키움증권,IRP,2110,2019-04-05,127
99686668-30,한국투자증권,IRP,7492,2022-08-22,127
7328-8383,키움증권,DC,6451,2015-04-01,128
371–0950–3262-3,미래에셋대우,DC,65357,2016-03-19,129
81999842-58,한국투자증권,종합,51838039,2024-02-08,129
46044137-197,하나증권,DB,57764876,2014-08-04,129
639-88-974791,신한투자증권,IRP,842,2020-04-25,130
449-36-583547,신한투자증권,DC,4940,2015-08-19,130
234383-793053,KB증권,IRP,416,2011-12-09,130
21972261-77,한국투자증권,DC,73245282,2022-03-20,131
546539-300908,KB증권,DB,854050,2019-08-15,131
0080-8432,키움증권,IRP,86025554,2010-12-22,131
92917054-10,한국투자증권,종합,512,2015-09-19,132
21982667-352,하나증권,DC,2180170,2013-10-21,132
852-18-831177,신한투자증권,DB,810,2020-11-26,132
789-60-751229,신한투자증권,DC,6198,2024-03-18,132
345826-708036,KB증권,DC,2125,2013-02-06,132
196–3126–6137-6,미래에셋대우,IRP,775,2018-09-09,133
83008780-767,하나증권,종합,881533,2021-09-17,133
602–3194–4722-4,미래에셋대우,DB,5803,2020-10-21,133
64729240-98,한국투자증권,IRP,43619,2023-10-12,133
44887696-82,한국투자증권,DB,441208,2014-07-31,134
435-56-352463,신한투자증권,DC,1173720,2011-09-01,134
935–1451–2545-4,미래에셋대우,DC,683,2021-02-22,134
841547-591835,KB증권,DC,291016,2022-05-20,134
767674-458974,KB증권,DB,49275,2013-10-22,134
780-22-410359,신한투자증권,IRP,3189,2022-05-20,136
41863502-49,한국투자증권,종합,73895,2023-09-10,136
590-33-232369,신한투자증권,IRP,934611,2011-06-23,136
05014884-62,한국투자증권,IRP,9233662,2012-01-24,136
565–9049–7951-6,미래에셋대우,IRP,44336,2020-11-17,137
194358-544073,KB증권,DC,55301346,2011-09-01,137
207–7617–5277-7,미래에셋대우,IRP,57379,2011-12-02,138
61550345-21,한국투자증권,DB,614,2011-06-01,138
838314-692137,KB증권,종합,898114,2011-04-27,139
32959455-992,하나증권,IRP,777,2012-09-18,139
55936753-07,한국투자증권,DC,293,2016-03-22,139
651639-225834,KB증권,IRP,46624721,2020-03-07,139
922-83-065312,신한투자증권,종합,892,2013-06-12,141
37875371-207,하나증권,IRP,501569,2010-02-14,141
341–7669–0156-0,미래에셋대우,IRP,615,2022-10-10,141
33218844-38,한국투자증권,IRP,6527,2015-03-20,141
503-26-176979,신한투자증권,종합,5389,2023-03-09,141
379838-972893,KB증권,IRP,8675,2020-11-09,142
5744-0125,키움증권,IRP,2663,2022-06-10,142
826-09-513084,신한투자증권,IRP,388,2019-06-16,142
265905-985777,KB증권,IRP,816,2021-09-28,143
6886-2629,키움증권,IRP,6335729,2018-03-23,143
1787-6521,키움증권,종합,6688,2023-12-01,144
61377941-723,하나증권,IRP,307456,2020-09-23,144
93518844-893,하나증권,DB,3422,2018-08-22,145
76690231-791,하나증권,DB,2977,2010-08-31,145
114-54-676040,신한투자증권,DC,4167845,2018-01-17,148
90542495-945,하나증권,IRP,6290,2010-02-01,148
060900-438114,KB증권,DB,260376,2010-06-20,148
26118039-624,하나증권,종합,352,2023-09-06,148
7101-6501,키움증권,종합,8852196,2011-06-08,148
658–1202–9184-8,미래에셋대우,IRP,38948686,2010-02-06,149
765–1037–0720-9,미래에셋대우,IRP,3773535,2012-01-20,150
446-18-547257,신한투자증권,종합,715931,2014-08-17,150
6523-2431,키움증권,종합,27320,2023-02-06,150
28068905-05,한국투자증권,DB,623,2011-08-08,150
8022-8467,키움증권,DC,6925,2021-10-07,152
1132-9572,키움증권,DC,81312,2010-04-07,152
37616231-79,한국투자증권,IRP,96944,2013-10-23,152
94912359-080,하나증권,종합,9001,2015-05-22,152
256835-098321,KB증권,IRP,80298,2019-12-02,153
5060-7352,키움증권,DB,69130,2017-08-28,153
71890585-02,한국투자증권,DC,381255,2017-03-11,153
161-57-895975,신한투자증권,DB,19301,2014-12-24,153
6907-2128,키움증권,DB,35203,2024-03-13,153
13772543-60,한국투자증권,DC,229,2018-02-04,155
95112494-92,한국투자증권,IRP,8416161,2017-11-19,155
32425876-882,하나증권,종합,900039,2022-04-29,156
957606-261441,KB증권,IRP,637,2022-12-09,156
068554-764931,KB증권,IRP,575656,2018-07-31,156
58770203-51,한국투자증권,종합,423276,2019-01-15,156
49348855-95,한국투자증권,IRP,141,2019-09-15,158
270232-578103,KB증권,IRP,905686,2022-07-02,158
721-96-486275,신한투자증권,종합,57900008,2021-08-26,158
944–3598–2550-0,미래에셋대우,IRP,66214,2017-01-26,158
033600-280125,KB증권,IRP,485,2018-02-11,158
11929801-04,한국투자증권,종합,3167184,2023-01-09,159
037–4299–3003-8,미래에셋대우,DC,88305626,2017-01-22,159
695–8007–2025-2,미래에셋대우,DC,868,2017-10-12,159
9696-1417,키움증권,DB,480265,2011-09-08,160
358-46-409260,신한투자증권,DB,1321,2023-02-09,160
11684466-25,한국투자증권,DB,5300451,2014-08-19,160
62153886-738,하나증권,IRP,141735,2010-03-02,160
3592-5373,키움증권,DB,75400,2019-12-31,160
624-14-061950,신한투자증권,DB,994,2022-11-01,161
5868-3191,키움증권,DB,47815255,2012-04-18,161
433191-625222,KB증권,IRP,43825188,2023-01-24,161
212525-894683,KB증권,DC,951,2023-04-28,161
3692-4297,키움증권,DC,44780972,2019-12-14,161
988718-074278,KB증권,IRP,2717,2013-07-21,162
436–4521–1695-4,미래에셋대우,IRP,68773,2012-11-06,162
03733449-05,한국투자증권,종합,2000623,2012-04-08,162
924425-126548,KB증권,종합,4005,2024-01-30,162
90300518-16,한국투자증권,IRP,79491618,2011-05-27,162
55738339-248,하나증권,IRP,28642,2010-11-27,163
827227-745190,KB증권,DB,4663,2015-02-06,163
889–7440–6259-1,미래에셋대우,DC,2958171,2017-01-21,163
09157354-29,한국투자증권,DC,41354,2022-08-29,163
500997-002208,KB증권,DB,3777,2014-01-14,163
20520613-673,하나증권,DC,59540,2018-09-10,164
611977-053922,KB증권,종합,75254851,2016-05-04,164
287694-006381,KB증권,DC,829,2023-03-16,164
44940276-692,하나증권,DC,780500,2021-09-21,164
49801424-34,한국투자증권,IRP,5310,2023-02-17,165
359-86-019653,신한투자증권,종합,407,2012-10-19,165
63684092-64,한국투자증권,IRP,1197635,2017-10-01,166
68747522-196,하나증권,DC,922551,2015-03-21,166
833–2848–8054-7,미래에셋대우,DB,725686,2021-05-31,166
24315858-488,하나증권,DC,335,2024-01-14,166
077–9419–7196-5,미래에셋대우,종합,2981,2010-08-05,167
50901884-154,하나증권,종합,4139,2023-12-18,169
54986895-890,하나증권,IRP,820583,2023-05-04,169
858328-177307,KB증권,종합,38397,2012-08-06,170
17038329-23,한국투자증권,DC,9366382,2024-01-06,170
465–5873–5766-3,미래에셋대우,종합,8731046,2012-07-17,170
420085-661975,KB증권,DC,94336425,2019-02-25,170
66983203-516,하나증권,DC,8414,2020-06-04,171
943-44-271558,신한투자증권,DB,2119,2019-04-29,171
257–6075–8438-5,미래에셋대우,DC,805,2023-10-08,171
080-88-861218,신한투자증권,IRP,572133,2014-04-02,171
500931-051536,KB증권,IRP,98334,2012-07-04,171
098176-925887,KB증권,IRP,106411,2020-04-10,173
4387-5235,키움증권,종합,488819,2010-01-01,173
098425-572739,KB증권,종합,231762,2013-05-30,173
160–1048–1429-2,미래에셋대우,IRP,60068,2019-12-28,173
724977-270793,KB증권,종합,6188492,2020-05-06,173
9034-8909,키움증권,DC,88290288,2015-01-08,175
018475-885599,KB증권,종합,81136,2023-08-31,176
74672915-317,하나증권,IRP,20648030,2019-11-22,176
244-35-325816,신한투자증권,종합,246,2021-01-07,176
62380504-802,하나증권,종합,63887998,2018-02-09,176
6784-3729,키움증권,종합,3080,2013-07-04,176
948880-122494,KB증권,DB,1749,2022-04-09,177
947-27-757179,신한투자증권,종합,30841,2011-02-16,177
18242596-303,하나증권,DC,593,2017-06-20,177
879–6537–3395-9,미래에셋대우,IRP,2858469,2011-09-25,177
4756-7903,키움증권,DC,873588,2011-06-21,177
380–6921–3279-7,미래에셋대우,종합,665,2017-12-23,178
245094-921679,KB증권,종합,34923416,2021-02-22,179
906-53-899499,신한투자증권,DB,5421,2010-03-15,179
32349681-91,한국투자증권,DC,27541619,2016-08-09,179
431–8114–9252-1,미래에셋대우,종합,8771526,2010-07-18,179
461–1760–0555-9,미래에셋대우,종합,2953,2014-09-26,179
02544489-24,한국투자증권,DB,941,2019-01-30,182
168-17-097458,신한투자증권,DB,962368,2018-07-23,183
06141965-589,하나증권,DC,4460429,2015-08-14,183
874–2803–6164-0,미래에셋대우,DB,3212,2017-01-15,183
1061-1433,키움증권,IRP,978,2015-06-02,184
23089154-83,한국투자증권,종합,8678,2016-02-05,184
93576216-65,한국투자증권,종합,4373952,2022-11-18,184
748–1450–6538-8,미래에셋대우,종합,9294065,2015-12-14,184
83903637-272,하나증권,종합,309,2019-04-28,184
33160982-830,하나증권,종합,823,2024-04-11,185
830646-493086,KB증권,DC,4916829,2021-10-06,186
8128-1453,키움증권,DB,1184866,2011-09-01,186
649456-581888,KB증권,DC,992002,2012-11-13,186
9682-5743,키움증권,종합,270,2018-05-26,186
32527268-129,하나증권,IRP,20174,2012-11-12,187
902586-179071,KB증권,종합,31654433,2012-09-15,187
525-54-367003,신한투자증권,IRP,1680904,2022-12-05,187
541–3132–0225-2,미래에셋대우,종합,909136,2024-05-05,187
787–2064–1450-1,미래에셋대우,종합,2370,2010-12-10,187
1400-3329,키움증권,IRP,7771965,2014-06-09,188
526–4982–0130-1,미래에셋대우,IRP,671985,2019-10-08,188
97308216-723,하나증권,DC,5825413,2024-06-08,188
88316447-41,한국투자증권,DB,191054,2023-12-17,188
412-75-037169,신한투자증권,IRP,60188918,2012-03-18,188
19115633-608,하나증권,종합,25602,2021-09-03,189
59136542-261,하나증권,종합,3145388,2022-10-14,189
285-52-339020,신한투자증권,종합,9158053,2017-04-08,189
