account_no,bank_name,account_type,name,balance,created_at,user_id
467-04-977286-6,DGB대구은행,입출금,iM스마트통장,709,2013-02-07,227
451-437858-91-356,IBK기업은행,IRP,IBK IRP 통장,85209,2023-10-30,255
021-7189-2944-37,NH농협은행,DC,NH DC 통장,95945,2022-09-05,215
3539-053-738956,우리은행,DB,우리 DB 통장,445,2024-05-27,190
709-52-073773-0,DGB대구은행,IRP,DGB IRP 통장,817126,2018-07-08,17
747-856-588188,신한은행,IRP,신한 IRP 통장,379,2023-01-08,62
3040-647-261042,우리은행,예금,우리 첫거래우대 정기예금,626686,2015-10-04,264
2159-86-6246391,카카오뱅크,예금,카카오뱅크 정기예금,875,2015-11-25,176
523426-91-443851,KB국민은행,DB,KB DB 통장,6416,2018-07-14,32
841-160-180740,신한은행,IRP,신한 IRP 통장,2820762,2022-08-09,212
770-153-036126,신한은행,예금,쏠편한 정기예금,25029,2011-04-25,263
904-57-176449-8,DGB대구은행,IRP,DGB IRP 통장,534,2017-04-01,214
462-974204-84801,하나은행,입출금,주거래하나 통장,71440657,2011-05-15,221
7468-46-2193487,카카오뱅크,입출금,카카오뱅크 입출금통장,88536,2019-12-12,192
746-86-553357-1,DGB대구은행,DB,DGB DB 통장,163,2019-05-10,193
496-23-753260-4,DGB대구은행,IRP,DGB IRP 통장,524792,2017-01-18,140
562-3685-9384-00,NH농협은행,적금,NH주거래우대적금,3714243,2018-06-03,125
464-49-628005-9,DGB대구은행,적금,고객에게 진심이지 적금,9942722,2020-12-23,164
131-018494-46-949,IBK기업은행,입출금,IBK평생주거래기업통장,1197659,2018-12-25,124
358-637132-26348,하나은행,DB,하나 DB 통장,93924416,2021-11-13,43
113-55-982486-9,DGB대구은행,DC,DGB DC 통장,8192,2015-01-16,26
691250-65-100840,KB국민은행,IRP,KB IRP 통장,691,2010-12-29,218
833-21-643449-1,DGB대구은행,DB,DGB DB 통장,263,2020-02-06,45
829-851-206803,신한은행,적금,"신한 안녕, 반가워 적금",498,2018-09-10,101
8628-58-4845565,카카오뱅크,IRP,카카오 IRP 통장,6145216,2021-12-17,287
1649-91-5660204,카카오뱅크,DC,카카오 DC 통장,63204465,2014-08-29,269
613-54-986984-2,DGB대구은행,DB,DGB DB 통장,29270,2021-03-06,47
387902-93-667786,KB국민은행,예금,KB Star 정기예금,82940774,2020-08-18,118
054-964015-02-021,IBK기업은행,IRP,IBK IRP 통장,882364,2015-12-24,279
463069-54-441987,KB국민은행,입출금,KB 올인원급여통장,783522,2019-01-28,95
066-042-195662,신한은행,DB,신한 DB 통장,73673,2019-11-23,117
527-6688-0601-87,NH농협은행,DC,NH DC 통장,92129,2017-03-24,3
805-924685-12321,하나은행,IRP,하나 IRP 통장,868444,2021-03-01,98
465-958784-43474,하나은행,DC,하나 DC 통장,1717125,2010-04-05,76
021-984-163379,신한은행,입출금,신한 슈퍼SOL 통장,69858460,2017-09-04,233
054-021337-57095,하나은행,입출금,주거래하나 통장,697,2012-02-29,238
327-2475-4884-96,NH농협은행,적금,NH주거래우대적금,74153,2024-01-22,276
767-5052-6617-06,NH농협은행,DB,NH DB 통장,1877249,2014-12-17,167
016-96-361879-5,DGB대구은행,예금,DGB주거래우대예금,7868,2024-03-28,17
649137-41-513669,KB국민은행,적금,KB내맘대로적금,370928,2020-07-26,244
125-388178-07-326,IBK기업은행,IRP,IBK IRP 통장,63413,2012-05-15,270
872-89-101136-1,DGB대구은행,IRP,DGB IRP 통장,3907535,2014-11-27,282
378249-53-354396,KB국민은행,예금,KB Star 정기예금,3225403,2016-11-15,143
5011-101-195258,우리은행,DC,우리 DC 통장,6563,2015-06-21,260
402-98-250010-3,DGB대구은행,적금,고객에게 진심이지 적금,3887,2017-08-12,1
440-094694-51618,하나은행,적금,(내맘) 적금,1692777,2011-08-06,146
336-2762-1276-19,NH농협은행,IRP,NH IRP 통장,532127,2023-06-29,137
909-932356-29-054,IBK기업은행,IRP,IBK IRP 통장,6995,2022-05-21,57
917-093397-76-045,IBK기업은행,적금,IBK D-day적금,9621593,2020-04-14,295
197-058-748758,신한은행,DC,신한 DC 통장,5257,2023-07-26,106
586-517-489448,신한은행,IRP,신한 IRP 통장,9478676,2011-08-20,56
901-323-998561,신한은행,예금,쏠편한 정기예금,78230,2019-08-02,294
4059-650-654746,우리은행,DB,우리 DB 통장,40,2010-05-29,156
027-718744-77-074,IBK기업은행,적금,IBK D-day적금,629180,2019-11-15,137
603-059-333221,신한은행,적금,"신한 안녕, 반가워 적금",5147252,2021-09-28,291
6882-48-4665724,카카오뱅크,예금,카카오뱅크 정기예금,4454487,2020-03-09,56
680-6610-5040-97,NH농협은행,DB,NH DB 통장,216984,2023-02-25,245
957-462079-11-273,IBK기업은행,적금,IBK D-day적금,21552,2015-12-02,271
429771-03-410391,KB국민은행,적금,KB내맘대로적금,476865,2021-08-13,292
6937-55-2618413,카카오뱅크,적금,카카오뱅크 자유적금,307999,2012-11-03,133
9054-029-753173,우리은행,입출금,우리 SUPER주거래 통장,5415,2014-06-05,65
597-4805-7920-79,NH농협은행,적금,NH주거래우대적금,5149,2020-05-21,215
2797-137-318656,우리은행,적금,WON 적금,85894191,2017-12-10,10
027-3619-2606-28,NH농협은행,입출금,NH주거래우대통장,75559,2014-05-04,132
341-9733-5005-82,NH농협은행,입출금,NH주거래우대통장,776516,2010-09-05,296
433753-54-302399,KB국민은행,예금,KB Star 정기예금,9900452,2024-06-12,248
603-1780-1150-10,NH농협은행,DB,NH DB 통장,505,2017-06-24,158
023-286666-60068,하나은행,적금,(내맘) 적금,790511,2011-02-23,180
259-176104-21-137,IBK기업은행,예금,1석7조통장,404014,2011-12-18,52
636-589961-01323,하나은행,입출금,주거래하나 통장,51050,2013-11-02,1
967-707-884711,신한은행,입출금,신한 슈퍼SOL 통장,4502,2024-03-21,81
125-593103-45504,하나은행,IRP,하나 IRP 통장,3859227,2015-06-12,195
895-63-216829-2,DGB대구은행,DB,DGB DB 통장,639,2015-03-02,85
757851-23-340239,KB국민은행,적금,KB내맘대로적금,227434,2015-10-21,160
526-6609-7910-23,NH농협은행,입출금,NH주거래우대통장,60088022,2019-02-10,185
326-4027-4298-84,NH농협은행,DC,NH DC 통장,1207,2011-04-05,257
897-8054-6817-76,NH농협은행,입출금,NH주거래우대통장,98566,2012-11-17,25
649-016113-33758,하나은행,IRP,하나 IRP 통장,2472,2017-07-19,243
635-723959-26237,하나은행,DC,하나 DC 통장,3181,2012-05-06,2
9356-536-769143,우리은행,예금,우리 첫거래우대 정기예금,97,2024-04-06,165
875032-65-609677,KB국민은행,DC,KB DC 통장,9427,2017-04-10,141
136-941390-90714,하나은행,예금,3*6*9 정기예금,891099,2015-04-21,259
549-62-649368-7,DGB대구은행,입출금,iM스마트통장,973692,2020-12-04,46
642-35-110447-1,DGB대구은행,IRP,DGB IRP 통장,65715,2012-03-25,49
8374-176-041478,우리은행,입출금,우리 SUPER주거래 통장,99230160,2015-12-30,226
5337-70-6555028,카카오뱅크,DB,카카오 DB 통장,94369371,2015-10-29,23
7876-737-769892,우리은행,DB,우리 DB 통장,5615,2011-07-07,162
447-739-874177,신한은행,DC,신한 DC 통장,645,2016-01-04,127
086-472497-36458,하나은행,DC,하나 DC 통장,9951149,2018-05-05,288
0276-199-768641,우리은행,DB,우리 DB 통장,258,2020-08-29,249
045-922-643552,신한은행,예금,쏠편한 정기예금,68797,2012-05-29,113
507-123384-23136,하나은행,적금,(내맘) 적금,426006,2020-01-14,25
848-359922-07-940,IBK기업은행,입출금,IBK평생주거래기업통장,98141046,2023-09-01,206
903-500-731050,신한은행,DB,신한 DB 통장,48827436,2021-07-12,184
4571-88-6350125,카카오뱅크,적금,카카오뱅크 자유적금,46352067,2017-12-30,118
0119-07-2301072,카카오뱅크,DC,카카오 DC 통장,217755,2012-10-12,4
459-183952-04-758,IBK기업은행,IRP,IBK IRP 통장,630959,2013-05-13,40
334-391453-83-582,IBK기업은행,DB,IBK DB 통장,538909,2013-01-11,233
969-466285-92141,하나은행,IRP,하나 IRP 통장,6577,2023-01-17,283
204-7632-7803-41,NH농협은행,입출금,NH주거래우대통장,1365,2013-03-24,84
278-74-355617-3,DGB대구은행,적금,고객에게 진심이지 적금,4,2014-11-10,133
714-066351-88744,하나은행,적금,(내맘) 적금,62267642,2010-11-23,61
817-486-590468,신한은행,IRP,신한 IRP 통장,21913353,2015-05-11,151
678-389-216629,신한은행,DB,신한 DB 통장,765,2018-09-18,55
5074-92-7017558,카카오뱅크,DB,카카오 DB 통장,2674615,2024-01-02,275
3814-019-846907,우리은행,예금,우리 첫거래우대 정기예금,286,2022-07-27,239
1054-91-4972834,카카오뱅크,IRP,카카오 IRP 통장,132,2022-03-01,23
545-44-401694-4,DGB대구은행,DC,DGB DC 통장,398035,2019-01-11,203
598-980196-17050,하나은행,예금,3*6*9 정기예금,9732,2018-12-30,41
444-417637-55-008,IBK기업은행,예금,1석7조통장,591748,2017-05-15,183
1672-121-172471,우리은행,예금,우리 첫거래우대 정기예금,845230,2015-11-08,116
103-321-625233,신한은행,예금,쏠편한 정기예금,6884466,2023-01-27,77
7932-002-260156,우리은행,입출금,우리 SUPER주거래 통장,652974,2022-12-13,154
449226-54-255954,KB국민은행,예금,KB Star 정기예금,6042438,2013-09-20,96
4822-818-898568,우리은행,예금,우리 첫거래우대 정기예금,59145673,2021-02-27,160
655-834-195069,신한은행,예금,쏠편한 정기예금,724189,2011-09-15,249
564-136795-18-222,IBK기업은행,적금,IBK D-day적금,9977727,2015-02-06,109
663-370441-54382,하나은행,DC,하나 DC 통장,952,2015-07-24,212
841678-44-854748,KB국민은행,DB,KB DB 통장,1146854,2019-03-30,157
942-8219-4919-82,NH농협은행,예금,NH올원e예금,9508266,2019-06-15,109
000-7915-9023-65,NH농협은행,적금,NH주거래우대적금,1317,2016-06-10,83
671-48-359823-2,DGB대구은행,예금,DGB주거래우대예금,205,2011-03-07,9
522-064798-88-297,IBK기업은행,입출금,IBK평생주거래기업통장,12667433,2010-02-03,52
118-5236-3844-92,NH농협은행,적금,NH주거래우대적금,8591862,2012-12-23,279
364183-91-668221,KB국민은행,적금,KB내맘대로적금,35517,2015-08-04,280
820-270925-47024,하나은행,적금,(내맘) 적금,3132096,2012-07-13,275
2640-67-2551241,카카오뱅크,입출금,카카오뱅크 입출금통장,6917,2010-12-15,132
2992-176-109971,우리은행,DB,우리 DB 통장,6810,2021-12-29,218
934-162310-72-866,IBK기업은행,입출금,IBK평생주거래기업통장,878,2012-06-03,237
765-347-458135,신한은행,예금,쏠편한 정기예금,363208,2020-03-22,29
239-026-700744,신한은행,DC,신한 DC 통장,1693550,2018-09-28,74
833-3110-3082-95,NH농협은행,DB,NH DB 통장,57447,2011-02-10,7
030-68-944651-6,DGB대구은행,DC,DGB DC 통장,91351,2013-08-07,136
786-508-973174,신한은행,예금,쏠편한 정기예금,713,2021-06-28,236
692024-89-884911,KB국민은행,입출금,KB 올인원급여통장,4353114,2014-11-22,169
104-425178-50299,하나은행,적금,(내맘) 적금,66830,2011-07-18,288
734-38-750464-8,DGB대구은행,IRP,DGB IRP 통장,73343965,2014-02-26,292
586-90-684623-0,DGB대구은행,입출금,iM스마트통장,4353,2021-03-19,50
073-13-576866-5,DGB대구은행,예금,DGB주거래우대예금,43668,2019-09-25,125
377313-99-695932,KB국민은행,IRP,KB IRP 통장,412,2022-02-15,111
234637-55-871053,KB국민은행,DB,KB DB 통장,9145312,2015-03-07,195
913-130083-03-351,IBK기업은행,IRP,IBK IRP 통장,6982,2016-02-10,143
2958-51-2443353,카카오뱅크,적금,카카오뱅크 자유적금,513,2019-04-21,264
272-7921-2788-09,NH농협은행,DC,NH DC 통장,915149,2017-10-30,35
218325-52-752072,KB국민은행,IRP,KB IRP 통장,74806313,2011-12-25,231
260-500-801785,신한은행,IRP,신한 IRP 통장,3257162,2010-05-26,220
3442-36-2286589,카카오뱅크,적금,카카오뱅크 자유적금,1844112,2015-09-19,235
403-457419-37-947,IBK기업은행,입출금,IBK평생주거래기업통장,270179,2019-06-01,109
723-086771-02654,하나은행,예금,3*6*9 정기예금,6115621,2013-06-25,137
905-201689-75370,하나은행,예금,3*6*9 정기예금,302773,2014-03-28,26
753-76-601125-7,DGB대구은행,입출금,iM스마트통장,8515829,2024-03-04,221
457-7855-7676-89,NH농협은행,적금,NH주거래우대적금,574836,2015-12-10,90
173-333-587371,신한은행,입출금,신한 슈퍼SOL 통장,4847775,2017-05-30,129
949-934432-15323,하나은행,예금,3*6*9 정기예금,81973371,2012-10-08,79
366-807-446426,신한은행,입출금,신한 슈퍼SOL 통장,3711271,2011-09-29,290
290-37-237901-0,DGB대구은행,예금,DGB주거래우대예금,960521,2016-10-14,50
038-5846-3490-82,NH농협은행,IRP,NH IRP 통장,8224228,2019-09-26,2
617-901936-31063,하나은행,DB,하나 DB 통장,6648623,2012-11-20,144
957284-89-056684,KB국민은행,IRP,KB IRP 통장,772272,2021-12-26,267
7350-132-503163,우리은행,DC,우리 DC 통장,763539,2015-06-21,253
475-2705-4136-77,NH농협은행,입출금,NH주거래우대통장,203666,2022-12-22,186
0227-745-989038,우리은행,DC,우리 DC 통장,14205,2017-04-16,28
464-6013-3591-41,NH농협은행,DC,NH DC 통장,4335565,2012-07-02,187
525-8372-1516-06,NH농협은행,IRP,NH IRP 통장,94769,2015-06-23,29
9417-50-2119703,카카오뱅크,예금,카카오뱅크 정기예금,9980,2020-06-17,244
068-846814-39263,하나은행,적금,(내맘) 적금,3299636,2021-06-08,32
4840-24-4376663,카카오뱅크,DC,카카오 DC 통장,94493678,2015-04-02,115
794591-99-068989,KB국민은행,IRP,KB IRP 통장,1412184,2022-05-30,240
450-13-157780-8,DGB대구은행,DB,DGB DB 통장,81,2013-02-25,107
490-264-301976,신한은행,IRP,신한 IRP 통장,5425,2011-12-03,143
020-765578-21970,하나은행,DC,하나 DC 통장,2744652,2015-04-25,99
749-58-459637-4,DGB대구은행,입출금,iM스마트통장,99336130,2017-12-14,75
135-157407-89804,하나은행,DB,하나 DB 통장,49350303,2021-10-28,49
318-350469-37918,하나은행,IRP,하나 IRP 통장,3997164,2017-08-29,105
308609-21-320705,KB국민은행,예금,KB Star 정기예금,387117,2011-11-05,238
444-9674-3745-87,NH농협은행,DB,NH DB 통장,557,2017-01-14,34
643-2748-5659-55,NH농협은행,입출금,NH주거래우대통장,295,2020-11-27,300
660-6242-4729-53,NH농협은행,DC,NH DC 통장,597,2016-06-21,234
7749-78-3083453,카카오뱅크,입출금,카카오뱅크 입출금통장,3140,2018-01-29,122
589864-28-574695,KB국민은행,적금,KB내맘대로적금,423,2012-07-29,295
7977-082-574140,우리은행,DC,우리 DC 통장,408836,2021-12-08,41
773-748895-47-578,IBK기업은행,예금,1석7조통장,790726,2011-09-03,149
596-0272-9034-02,NH농협은행,예금,NH올원e예금,5972,2016-05-11,46
1769-78-3499852,카카오뱅크,예금,카카오뱅크 정기예금,7779341,2019-05-04,65
776-042005-48-881,IBK기업은행,예금,1석7조통장,4545017,2022-01-12,58
9530-780-663724,우리은행,DB,우리 DB 통장,13373831,2016-06-04,272
361-685-593196,신한은행,DC,신한 DC 통장,1618916,2014-11-07,126
030-997-167642,신한은행,예금,쏠편한 정기예금,459622,2021-01-20,68
128-423787-43-422,IBK기업은행,DB,IBK DB 통장,3271926,2016-06-08,113
1010-75-5770424,카카오뱅크,적금,카카오뱅크 자유적금,28990,2014-01-21,16
027-5788-9527-52,NH농협은행,적금,NH주거래우대적금,447,2018-01-02,223
355-016-012975,신한은행,IRP,신한 IRP 통장,23906,2020-03-03,161
846-3949-0255-16,NH농협은행,적금,NH주거래우대적금,182254,2016-10-27,44
7872-311-711217,우리은행,예금,우리 첫거래우대 정기예금,804609,2013-07-15,244
787-680032-40-754,IBK기업은행,DB,IBK DB 통장,71551,2016-03-15,299
296-049828-63-287,IBK기업은행,예금,1석7조통장,8895,2021-06-24,248
691-737055-22590,하나은행,적금,(내맘) 적금,15726,2015-06-04,189
741997-08-848821,KB국민은행,입출금,KB 올인원급여통장,1727260,2019-09-25,119
341-710528-48292,하나은행,예금,3*6*9 정기예금,52404207,2023-12-11,258
826-78-641870-2,DGB대구은행,DC,DGB DC 통장,7693707,2022-02-03,77
646-749994-40-344,IBK기업은행,IRP,IBK IRP 통장,83067792,2019-07-30,170
618-536-743197,신한은행,예금,쏠편한 정기예금,6979043,2016-04-29,13
7346-981-613412,우리은행,DC,우리 DC 통장,620026,2021-10-02,124
9273-734-134458,우리은행,적금,WON 적금,1898672,2018-09-13,143
1770-312-262621,우리은행,DB,우리 DB 통장,88268,2013-09-20,227
636-242345-46871,하나은행,DB,하나 DB 통장,23112153,2022-04-09,222
004-958976-76-087,IBK기업은행,적금,IBK D-day적금,1415,2011-05-11,36
815-1571-3317-77,NH농협은행,입출금,NH주거래우대통장,422,2010-11-11,226
4631-484-351234,우리은행,IRP,우리 IRP 통장,3124941,2010-10-25,91
001-586089-24873,하나은행,적금,(내맘) 적금,3598,2010-10-15,171
9001-24-4537048,카카오뱅크,입출금,카카오뱅크 입출금통장,68118,2022-07-08,276
032-25-886050-3,DGB대구은행,예금,DGB주거래우대예금,600451,2024-03-18,41
222-728343-18575,하나은행,IRP,하나 IRP 통장,524,2015-02-09,8
788043-00-240052,KB국민은행,IRP,KB IRP 통장,29086357,2017-02-05,251
831-859569-92348,하나은행,입출금,주거래하나 통장,3280414,2018-11-05,115
1964-681-853812,우리은행,DB,우리 DB 통장,782,2016-12-14,197
291-373318-21-881,IBK기업은행,예금,1석7조통장,1986,2022-07-26,234
351-825187-27-496,IBK기업은행,IRP,IBK IRP 통장,5940,2012-07-17,225
529-33-857940-8,DGB대구은행,입출금,iM스마트통장,768185,2013-03-01,23
239-639524-97-179,IBK기업은행,IRP,IBK IRP 통장,399,2018-11-30,35
705995-04-476639,KB국민은행,DC,KB DC 통장,44263,2016-01-20,207
0187-047-413086,우리은행,IRP,우리 IRP 통장,7783,2020-08-05,193
618-121238-13-644,IBK기업은행,입출금,IBK평생주거래기업통장,3041,2012-08-04,190
020-327736-84753,하나은행,입출금,주거래하나 통장,99805,2018-01-01,266
461-78-834745-6,DGB대구은행,적금,고객에게 진심이지 적금,393,2010-09-17,92
246-190859-42576,하나은행,IRP,하나 IRP 통장,9763074,2021-01-13,61
