id,tx_datetime,tx_type,tx_amount,bal_after_tx,tx_qty,account_no,stock_code
151,2024-03-21,매수,2641100,59179190,77,237439-130647,000720
152,2024-02-05,매수,8013200,56233002,92,018475-885599,023530
153,2024-04-24,매수,6234200,35348810,73,62441012-95,032830
154,2024-06-10,매수,1555850,33383394,37,23249341-35,253450
155,2024-05-29,매수,2331000,36608905,60,11929801-04,017800
156,2024-02-20,매수,1308160,23008519,73,402-27-380980,026960
157,2024-04-22,매수,146925,52452998,45,49457929-351,000400
158,2024-01-23,매수,7106400,78550340,84,93576216-65,035900
159,2024-05-23,매수,22495000,34720443,55,98225420-75,298040
160,2024-01-22,매수,305040,61464451,31,88964146-502,005940
161,2024-05-31,매수,1891400,35566677,14,5868-3191,028260
162,2024-06-10,매수,1821850,12021067,83,858-09-172815,003490
163,2024-04-30,매수,19980000,11022063,90,69907736-32,011070
164,2024-02-19,매수,31416000,74067999,77,608005-007793,007310
165,2024-04-15,매수,1735050,75288715,43,794-23-035836,017800
166,2024-06-07,매수,7980000,95767718,20,9652-7015,006400
167,2024-05-27,매수,1626200,39948914,47,651639-225834,375500
168,2024-01-02,매수,802500,48928201,30,11684466-25,064350
169,2024-02-01,매수,528450,28284711,13,091516-456453,008930
170,2024-02-14,매수,3049350,22327517,87,780785-935960,020150
171,2024-05-31,매수,1748700,83723646,87,53645403-00,000080
172,2024-03-08,매수,3952000,335591,40,630-07-547492,399720
173,2024-03-27,매수,7981500,70937331,85,8116-5787,033780
174,2024-03-28,매수,4445550,88573657,89,84753446-40,020150
175,2024-05-23,매수,4888000,37710099,26,064–3998–8126-6,090430
176,2024-04-05,매수,1157400,25143364,18,503-26-176979,036830
177,2024-04-24,매수,719200,3112688,4,988718-074278,000660
178,2024-04-12,매수,4204800,69881209,72,69907736-32,008770
179,2024-03-11,매수,11320000,49086128,100,26638587-087,329180
180,2024-05-22,매수,64400,77050773,8,86532979-13,003690
181,2024-04-30,매수,2762100,92146189,81,06275886-03,047920
182,2024-03-20,매수,5118000,45302020,12,315-75-909111,005490
183,2024-01-29,매수,238400,64466294,2,84014318-87,005387
184,2024-04-19,매수,641550,85568457,21,986-27-660389,393890
185,2024-05-20,매수,5897600,10454997,97,565–9049–7951-6,009240
186,2024-02-21,매수,453420,83464692,33,707–5647–4984-8,024110
187,2024-02-08,매수,697200,40740250,14,54986895-890,012510
188,2024-04-23,매수,14184000,84489977,36,3709-6175,004370
189,2024-06-05,매수,147750,815990,30,94912359-080,001740
190,2024-02-15,매수,1104400,5663464,44,2075-4004,293490
191,2024-03-13,매수,4668600,9872908,31,732–4973–2079-3,307950
192,2024-03-13,매수,3093200,91728140,44,5528-8893,402340
193,2024-03-22,매수,19778000,85275388,44,3215-6393,051910
194,2024-03-29,매수,1107600,47373279,12,33160982-830,032830
195,2024-01-24,매수,3442500,21362316,85,1061-1433,213420
196,2024-02-13,매수,3824700,60846724,57,436–4521–1695-4,010120
197,2024-03-21,매수,1436000,59919279,20,2379-0090,141080
198,2024-05-21,매수,1484100,31820236,51,497-79-481818,056190
199,2024-04-11,매수,15740,634722,2,401324-939797,003690
200,2024-03-29,매수,329840,28757256,56,848–3158–5548-0,073240
201,2024-04-05,매수,8100000,46552265,27,375–0690–9868-9,000810
202,2024-03-18,매수,5002900,98032431,49,5354-7736,065350
203,2024-04-17,매수,13552400,69281564,68,6545-3013,145020
204,2024-04-05,매수,12452500,43350927,85,86392216-60,005387
205,2024-04-04,매수,2575200,66733309,74,458-66-048596,375500
206,2024-01-04,매수,2883500,98803740,73,700–4796–6416-1,103140
207,2024-03-08,매수,8085000,37424409,50,948880-122494,018260
208,2024-03-28,매수,2548000,81695526,7,03733449-05,457190
209,2024-03-25,매수,2004000,25860470,40,5601-4717,069960
210,2024-01-05,매수,3497400,60295581,58,892–0797–0578-8,011210
211,2024-01-17,매수,6566700,63475528,53,707–5647–4984-8,011170
212,2024-01-19,매수,1845250,76455705,55,379838-972893,036930
213,2024-04-29,매수,1849500,74939195,45,022–0704–3376-7,022100
214,2024-02-07,매수,2708000,56267934,80,948880-122494,000720
215,2024-03-11,매수,392760,21757526,36,033600-280125,034220
216,2024-02-05,매수,290020,15829917,34,095–0423–7275-8,006800
217,2024-02-21,매수,2730000,11220138,42,119-35-022940,302440
218,2024-04-25,매수,24853000,10049459,58,281–0077–4181-9,007310
219,2024-01-12,매수,1162800,32054278,24,4008-2360,402340
220,2024-06-10,매수,1026000,247861,15,932912-751043,071050
221,2024-01-12,매수,7663000,50279289,97,2075-4004,005830
222,2024-05-02,매수,458800,26980261,37,84714210-94,005940
223,2024-01-16,매수,373200,61754221,4,262-31-023366,454910
224,2024-02-08,매수,62000,12158926,1,230302-025525,021240
225,2024-01-03,매수,10555500,63533254,93,147-46-926332,009540
226,2024-02-16,매수,1011780,49230778,66,24315858-488,006360
227,2024-05-17,매수,828200,25749762,41,353322-860832,000080
228,2024-02-02,매수,6807600,7426889,93,927-04-287479,035760
229,2024-03-14,매수,2527800,19509023,22,358-46-409260,069620
230,2024-01-23,매수,4054100,53318363,71,879-08-306270,251270
231,2024-03-05,매수,4031500,31918699,11,348-99-410115,006400
232,2024-05-29,매수,1064900,47831477,23,018475-885599,002710
233,2024-04-01,매수,3170000,84430360,5,205–5331–1785-9,086520
234,2024-06-07,매수,3520000,61243945,80,111-73-976946,257720
235,2024-02-29,매수,5046400,12631126,83,31496684-203,328130
236,2024-03-25,매수,595800,2695275,18,440–2737–3732-9,001450
237,2024-01-29,매수,902000,21006983,5,5354-7736,457190
238,2024-04-04,매수,715950,85169749,43,505–9870–6272-5,000240
239,2024-04-01,매수,4805200,19598137,82,6784-3729,002710
240,2024-02-28,매수,1129200,14076801,12,046–3316–3135-9,326030
241,2024-05-27,매수,256355,19193492,79,8007-0722,000400
242,2024-03-20,매수,108240,1532291,8,14599064-157,034230
243,2024-03-25,매수,9030000,19357463,35,80596785-262,012330
244,2024-01-23,매수,3050400,75151620,93,99686668-30,240810
245,2024-01-25,매수,2203200,41794039,68,288-96-565351,214150
246,2024-04-30,매수,6621500,19960242,95,244-35-325816,023530
247,2024-04-19,매수,442800,11886873,9,02850175-08,047810
248,2024-05-27,매수,5556600,74738107,98,213-03-283421,302440
249,2024-01-23,매수,720900,96140506,18,542-24-809860,017800
250,2024-04-17,매수,2486250,99026084,51,935–1451–2545-4,161890
251,2024-01-30,매수,897180,81901559,57,250–3976–7745-2,000240
252,2024-04-17,매수,1497600,33529116,64,2650-3802,353200
253,2024-03-26,매수,7293000,87074205,17,056–1027–4474-3,005490
254,2024-04-29,매수,1199000,38093795,22,500931-051536,084370
255,2024-05-21,매수,15888400,82228743,92,65234069-61,277810
256,2024-01-24,매수,1695600,66830293,36,069-66-726397,253450
257,2024-02-15,매수,12085200,64035115,81,892–0797–0578-8,005385
258,2024-03-05,매수,1401000,35446629,60,97811986-10,293490
259,2024-03-06,매수,1166400,30488775,8,37563387-11,307950
260,2024-02-15,매수,427890,92899089,51,55176786-814,006800
261,2024-04-23,매수,233800,25313566,2,060900-438114,121600
262,2024-02-29,매수,6363000,95177529,90,234383-793053,267250
263,2024-06-04,매수,8760,15228803,2,93232136-295,028670
264,2024-05-09,매수,4746000,40247006,60,83008780-767,003550
265,2024-04-18,매수,15392300,95242962,77,863-96-651283,145020
266,2024-02-20,매수,4872000,52075557,16,08376139-511,003670
267,2024-05-08,매수,1498500,61158678,27,2379-0090,000210
268,2024-04-09,매수,3304600,83051856,82,611540-208606,017800
269,2024-04-12,매수,11754000,69319922,90,022–0704–3376-7,192820
270,2024-05-14,매수,4835100,81263867,71,0654-8904,052690
271,2024-03-13,매수,4968000,9572589,54,080-88-861218,001040
272,2024-04-03,매수,2660000,70876372,95,080-87-212275,089860
273,2024-04-24,매수,1543500,69821615,45,588535-764609,051600
274,2024-03-25,매수,1734000,7710368,30,386160-657670,011210
275,2024-05-08,매수,2136000,46257758,12,244-35-325816,000660
276,2024-01-24,매수,2881200,46658481,84,23906952-43,417200
277,2024-05-29,매수,2697700,89834786,53,14322092-49,328130
278,2024-02-16,매수,4446000,67922684,38,350–8719–3147-6,065350
279,2024-04-03,매수,642240,70648159,36,4895-5581,067630
280,2024-04-23,매수,1000800,31452497,48,858-09-172815,214370
281,2024-04-03,매수,5846400,63809619,63,20264304-812,032830
282,2024-05-21,매수,1299350,75345465,65,3798-8817,015760
283,2024-02-26,매수,870000,25078806,4,355587-824737,259960
284,2024-04-12,매수,9424500,975086,61,2534-3021,018670
285,2024-01-19,매수,220000,13008328,1,700–7083–6061-5,352820
286,2024-01-02,매수,2833200,54103105,72,281–0077–4181-9,055550
287,2024-05-02,매수,12240000,78337465,51,565010-766640,039030
288,2024-05-07,매수,811800,85548588,82,095–0423–7275-8,032640
289,2024-01-12,매수,1113600,69066198,12,21972261-77,001040
290,2024-01-26,매수,874000,53243868,19,19115633-608,009240
291,2024-05-21,매수,15097500,44934520,45,27895971-919,278470
292,2024-04-11,매수,1150200,63636511,54,88110639-254,015760
293,2024-05-03,매수,2686500,9637885,45,230302-025525,180640
294,2024-01-04,매수,3076800,71197935,24,049–5923–0973-1,280360
295,2024-04-22,매수,6652000,66770711,40,89726362-05,196170
296,2024-01-17,매수,15047400,18814690,93,641-26-306904,145020
297,2024-03-18,매수,50000,41705928,8,29460992-82,001740
298,2024-01-18,매수,2426250,79244934,75,4546-5316,240810
299,2024-02-28,매수,1917300,58685227,42,980–3119–6218-8,377300
300,2024-04-30,매수,1504200,69844052,92,748–1450–6538-8,098460
301,2024-01-09,매수,36720000,8799450,85,833–2848–8054-7,006400
302,2024-01-04,매수,2374950,75787460,71,852-18-831177,005850
303,2024-01-08,매수,5849100,28421108,97,900–4924–0452-8,022100
304,2024-04-03,매수,885500,94623277,35,986-27-660389,028050
305,2024-04-05,매수,777000,80297374,50,420085-661975,035250
306,2024-05-27,매수,877200,21020951,24,80596785-262,006040
307,2024-03-11,매수,3557400,59857944,66,406–0108–6271-3,403870
308,2024-01-17,매수,288000,53228433,1,9310-2574,357780
309,2024-04-18,매수,5630000,74197116,100,21323484-639,004800
310,2024-02-15,매수,5972400,5799248,63,746673-394586,001570
311,2024-03-25,매수,1356300,23738227,33,874–2803–6164-0,047920
312,2024-02-14,매수,15084600,97401763,93,2353-2411,298040
313,2024-01-11,매수,532000,41988019,14,49695021-29,204320
314,2024-03-13,매수,3666300,41587123,33,767674-458974,329180
315,2024-02-21,매수,2316000,38668422,15,804–2598–2677-6,012450
316,2024-04-02,매수,3311100,79590104,78,544-39-489513,014820
317,2024-02-27,매수,3250800,23818073,72,346–2511–0236-0,253450
318,2024-04-01,매수,184275,56084652,65,23249341-35,088350
319,2024-02-07,매수,599250,91896041,17,14685876-823,001450
320,2024-01-22,매수,1328350,41112656,31,90542495-945,213420
321,2024-06-10,매수,151560,58242995,12,5354-7736,088980
322,2024-05-03,매수,10783500,71657119,79,277-26-535094,280360
323,2024-02-05,매수,1327200,74647587,21,26638587-087,004800
324,2024-05-02,매수,11570000,34252536,100,951-49-138188,006280
325,2024-03-07,매수,5711700,43159552,79,365–9198–0015-4,402340
326,2024-02-15,매수,875440,76033318,62,804–2598–2677-6,316140
327,2024-04-25,매수,8404200,61593136,46,402-27-380980,035420
328,2024-02-28,매수,910080,99806635,72,77104574-44,088980
329,2024-04-02,매수,873840,77170550,88,974-06-379210,032640
330,2024-01-19,매수,2738000,19437881,37,8480-7459,180640
331,2024-02-27,매수,1236300,33816104,26,025-70-234415,012510
332,2024-01-22,매수,1587200,84809029,32,20264304-812,002710
333,2024-06-10,매수,643200,86564042,16,9118-2233,403870
334,2024-04-04,매수,3523800,31045633,84,91631617-44,007660
335,2024-01-16,매수,130800,3714385,24,241-84-312030,001740
336,2024-01-04,매수,6305000,84041096,50,348-99-410115,079550
337,2024-02-02,매수,2589000,94202316,30,546539-300908,065350
338,2024-01-30,매수,337000,70332419,1,892–0797–0578-8,298050
339,2024-02-16,매수,4128600,93198682,84,077–9419–7196-5,111770
340,2024-02-28,매수,2150400,17176839,14,60693865-09,005385
341,2024-05-07,매수,3844800,3964089,48,315-75-909111,006110
342,2024-04-03,매수,34380,82148955,3,5744-0125,005940
343,2024-01-25,매수,755500,63131986,50,8941-2601,035250
344,2024-03-18,매수,4385200,50829606,76,11065997-06,004800
345,2024-05-22,매수,1876000,35182621,8,06495874-88,011070
346,2024-02-28,매수,392980,21409698,49,34959038-313,010140
347,2024-01-19,매수,6600000,65918189,60,07829656-64,005387
348,2024-01-05,매수,3332000,48050625,85,168-17-097458,009420
349,2024-03-21,매수,2192500,26135311,25,542-24-809860,095340
350,2024-02-15,매수,6196500,36567865,51,658–1202–9184-8,067160
351,2024-01-12,매수,6779600,84432218,68,20264304-812,001570
352,2024-03-12,매수,1130000,89376978,25,5575-7467,253450
353,2024-05-27,매수,5046300,23444755,81,60693865-09,086790
354,2024-02-05,매수,2459200,89218968,29,336-39-353073,006110
355,2024-04-01,매수,1953600,36120400,37,458-66-048596,047050
356,2024-05-28,매수,890400,32375109,42,06141965-589,096530
357,2024-04-03,매수,5596500,29900937,91,11158880-932,285130
358,2024-06-05,매수,98385,88264988,21,957–3012–5720-7,395400
359,2024-04-29,매수,951600,26586786,13,855961-203492,010950
360,2024-05-17,매수,1960800,4660306,43,901–1073–0397-9,253450
361,2024-05-03,매수,2523150,72504613,81,4756-7903,039200
362,2024-04-05,매수,7709000,9256060,65,7101-6501,010120
363,2024-04-22,매수,111300,97857134,30,3595-1573,047040
364,2024-02-23,매수,1575000,35984319,25,2924-0909,251270
365,2024-06-10,매수,639800,20158337,28,3215-6393,353200
366,2024-01-25,매수,1665000,66308393,75,9825-9471,042660
367,2024-06-03,매수,970000,7953397,20,110-23-630835,214150
368,2024-01-30,매수,5582500,40162666,77,103–0770–3122-9,180640
369,2024-06-07,매수,399000,76546065,57,40405218-76,003410
370,2024-06-04,매수,12150000,36432317,27,73343563-058,004370
371,2024-03-05,매수,4679500,24154903,98,982313-924393,004000
372,2024-01-22,매수,14784000,27748934,84,01097423-71,277810
373,2024-01-22,매수,34224000,29733450,92,365–9198–0015-4,373220
374,2024-04-08,매수,864500,15207300,26,357–9954–1972-4,089030
375,2024-05-13,매수,2033200,25808500,34,310–7609–5128-8,302440
376,2024-01-17,매수,834600,34106815,39,287–6687–6121-4,042660
377,2024-02-15,매수,3245200,16930253,38,85005738-24,326030
378,2024-02-29,매수,2189600,13773237,28,265905-985777,041510
379,2024-03-15,매수,3105000,33712467,90,244–3731–9546-1,000720
380,2024-02-13,매수,17625000,47697290,94,831334-983196,068270
381,2024-01-08,매수,3907100,78023793,89,99686668-30,195940
382,2024-06-05,매수,12553100,54064571,79,6145-7411,280360
383,2024-02-15,매수,197100,72575050,6,547-96-990197,005420
384,2024-01-17,매수,2201000,54251716,31,565010-766640,005930
385,2024-03-12,매수,7419500,9172956,55,49801424-34,011780
386,2024-06-03,매수,2850000,22233124,38,92917054-10,000100
387,2024-02-22,매수,251770,38656807,17,3215-6393,067630
388,2024-06-10,매수,1278550,57284729,91,535175-006138,034230
389,2024-04-29,매수,9576000,12657002,56,0069-0207,079550
390,2024-05-28,매수,3406000,80639585,52,17038329-23,383220
391,2024-01-02,매수,2063100,3165275,69,310–7609–5128-8,067310
392,2024-04-23,매수,644670,4274380,87,0080-8432,006800
393,2024-03-08,매수,5040600,18180398,62,6934-1139,000250
394,2024-04-05,매수,285780,698097,33,7977-4895,010140
395,2024-02-01,매수,576000,67122483,24,5060-7352,353200
396,2024-03-20,매수,2194500,38353431,57,057177-785186,377300
397,2024-04-29,매수,480800,47332415,8,20802797-416,012750
398,2024-04-19,매수,4719000,37296377,78,14322092-49,139480
399,2024-03-04,매수,2632000,27081312,20,5868-3191,267260
400,2024-01-31,매수,4772800,14710033,76,3359-3792,004800
401,2024-01-11,매수,4282600,69629453,38,077–9935–0175-1,192820
402,2024-04-09,매수,629200,56287101,4,4895-5581,009150
403,2024-04-19,매수,14070000,22844562,60,838314-692137,012330
404,2024-01-24,매수,2373800,20046998,83,184-36-446637,056190
405,2024-02-22,매수,5896200,21132369,93,699–4097–2968-5,039130
406,2024-05-29,매수,2300100,16440282,51,4714-8806,361610
407,2024-04-18,매수,19869000,10131781,74,9118-2233,003230
408,2024-01-24,매수,372240,39021891,44,5528-8893,139130
409,2024-01-08,매수,1698000,89570046,30,3536-3120,012750
410,2024-02-16,매수,1041920,88493241,88,915-22-424118,034220
411,2024-01-03,매수,1136200,8798397,19,31843368-465,025900
412,2024-03-15,매수,14953000,73560550,38,88964146-502,007310
413,2024-01-16,매수,15619500,71267416,39,207–7617–5277-7,373220
414,2024-05-02,매수,9776000,86623281,94,307782-878880,004490
415,2024-02-29,매수,1342500,97959053,3,956-65-465028,010130
416,2024-01-24,매수,8361000,51731851,90,427777-996243,039490
417,2024-04-12,매수,5112000,55786801,71,8128-1453,383310
418,2024-01-11,매수,1149400,68504456,14,21692830-23,006260
419,2024-04-01,매수,11572000,11186712,88,836332-038054,450080
420,2024-04-24,매수,4256000,76498605,80,503-26-176979,012510
421,2024-02-06,매수,621000,412833,50,620-69-196475,089590
422,2024-01-05,매수,2256150,65700901,89,4895-5581,293490
423,2024-03-21,매수,480000,69570936,4,2439-9131,096770
424,2024-03-18,매수,4331600,66643490,91,020311-496729,103140
425,2024-04-26,매수,422950,59533561,11,694-47-519343,064350
426,2024-03-19,매수,2016700,89028965,43,0069-0207,004000
427,2024-01-31,매수,4488000,91446803,51,780785-935960,006110
428,2024-02-16,매수,8924000,12904314,46,924425-126548,034730
429,2024-05-24,매수,322200,57307194,9,241-84-312030,009420
430,2024-04-30,매수,1279680,12416652,93,989–2611–3525-1,001440
431,2024-05-07,매수,2559400,38724959,67,780-22-410359,240810
432,2024-05-28,매수,10788000,52487169,24,265905-985777,298040
433,2024-05-16,매수,3160000,71311056,80,110-23-630835,029780
434,2024-05-20,매수,4655100,19836209,59,5744-0125,005930
435,2024-02-20,매수,707940,88952442,54,259080-837415,034230
436,2024-03-13,매수,27360000,74751268,80,44447146-187,051900
437,2024-03-15,매수,2748500,3043554,23,0343-4625,006280
438,2024-05-16,매수,162900,8312631,3,84714210-94,012510
439,2024-01-16,매수,2982500,91527717,25,22307609-44,028260
440,2024-03-07,매수,578200,319022,70,3976-5453,006800
