card_no,company_name,card_name,card_type,created_at,expired_at,user_id,account_no
0445031939125119,하나카드,하나 CLUB H 아메리칸 익스프레스 리저브 카드,신용카드,2022-08-03,2027-08-02,185,526-6609-7910-23
3618168187459079,BC카드,[BC바로] 밥바라밥 페이북머니 체크카드,체크카드,2012-03-02,2017-03-01,185,526-6609-7910-23
3666168740541472,신한카드,신한카드 Pick E 체크 캐릭터형(루피),체크카드,2023-05-05,2028-05-03,185,526-6609-7910-23
3687425415493013,롯데카드,롯데마트&MAXX 카드,신용카드,2022-10-28,2027-10-27,25,897-8054-6817-76
3689818413058891,롯데카드,롯데마트&MAXX 카드,신용카드,2021-08-12,2026-08-11,226,8374-176-041478
3681034812757875,롯데카드,롯데포인트 플러스 체크카드,체크카드,2012-04-29,2017-04-28,84,204-7632-7803-41
0444120025614667,하나카드,하나 CLUB H 아메리칸 익스프레스 리저브 카드,신용카드,2017-11-17,2022-11-16,154,7932-002-260156
3810998113155769,KB국민카드,카카오페이 KB국민 체크카드,체크카드,2021-11-08,2026-11-07,154,7932-002-260156
3663671849366861,신한카드,신한카드 Point Plan,신용카드,2018-01-19,2023-01-18,154,7932-002-260156
3688756479945542,롯데카드,롯데마트&MAXX 카드,신용카드,2020-02-14,2025-02-12,154,7932-002-260156
3661291471096414,신한카드,신한카드 Pick E 체크 캐릭터형(루피),체크카드,2024-06-12,2029-06-11,154,7932-002-260156
3668621223860700,신한카드,신한카드 Point Plan,신용카드,2016-08-03,2021-08-02,237,934-162310-72-866
3813346405010710,KB국민카드,삼성페이 KB국민카드,신용카드,2015-11-18,2020-11-16,237,934-162310-72-866
3661839625352852,신한카드,신한카드 Pick E 체크 캐릭터형(루피),체크카드,2014-11-05,2019-11-04,237,934-162310-72-866
0449089042035565,하나카드,Young Hana+ 체크카드,체크카드,2023-01-24,2028-01-23,237,934-162310-72-866
3612198892630774,BC카드,[BC바로] 밥바라밥 페이북머니 체크카드,체크카드,2021-12-01,2026-11-30,237,934-162310-72-866
3613532223677606,BC카드,[BC바로] GOAT BC바로카드,신용카드,2016-11-28,2021-11-27,50,586-90-684623-0
3661884896786191,신한카드,신한카드 Pick E 체크 캐릭터형(루피),체크카드,2014-08-27,2019-08-26,109,403-457419-37-947
0449153963873014,하나카드,하나 CLUB H 아메리칸 익스프레스 리저브 카드,신용카드,2017-01-25,2022-01-24,109,403-457419-37-947
3813998305295469,KB국민카드,삼성페이 KB국민카드,신용카드,2011-10-16,2016-10-14,109,403-457419-37-947
3618366707068591,BC카드,[BC바로] GOAT BC바로카드,신용카드,2014-07-08,2019-07-07,109,403-457419-37-947
3618033152767821,BC카드,[BC바로] 밥바라밥 페이북머니 체크카드,체크카드,2012-06-10,2017-06-09,109,403-457419-37-947
3612439939147608,BC카드,[BC바로] GOAT BC바로카드,신용카드,2022-01-14,2027-01-13,129,173-333-587371
3685123295669750,롯데카드,롯데포인트 플러스 체크카드,체크카드,2011-09-12,2016-09-10,129,173-333-587371
3618551382762114,BC카드,[BC바로] 밥바라밥 페이북머니 체크카드,체크카드,2022-05-24,2027-05-23,129,173-333-587371
0441751929474833,하나카드,하나 CLUB H 아메리칸 익스프레스 리저브 카드,신용카드,2016-02-23,2021-02-21,290,366-807-446426
3613182201743229,BC카드,[BC바로] 밥바라밥 페이북머니 체크카드,체크카드,2016-12-19,2021-12-18,290,366-807-446426
3686647118819955,롯데카드,롯데마트&MAXX 카드,신용카드,2024-03-12,2029-03-11,290,366-807-446426
0441023196748630,하나카드,Young Hana+ 체크카드,체크카드,2021-01-30,2026-01-29,290,366-807-446426
3660892222600426,신한카드,신한카드 Pick E 체크 캐릭터형(루피),체크카드,2017-06-05,2022-06-04,186,475-2705-4136-77
3668645556297314,신한카드,신한카드 Point Plan,신용카드,2010-03-21,2015-03-20,186,475-2705-4136-77
0445208600292104,하나카드,하나 CLUB H 아메리칸 익스프레스 리저브 카드,신용카드,2010-04-07,2015-04-06,186,475-2705-4136-77
3819406678831823,KB국민카드,삼성페이 KB국민카드,신용카드,2013-04-17,2018-04-16,75,749-58-459637-4
3667153392807197,신한카드,신한카드 Point Plan,신용카드,2021-11-15,2026-11-14,75,749-58-459637-4
0449908245490423,하나카드,Young Hana+ 체크카드,체크카드,2019-04-18,2024-04-16,75,749-58-459637-4
3813181137430932,KB국민카드,카카오페이 KB국민 체크카드,체크카드,2024-02-09,2029-02-07,75,749-58-459637-4
3688917068033666,롯데카드,롯데마트&MAXX 카드,신용카드,2015-04-16,2020-04-14,75,749-58-459637-4
3819123008627477,KB국민카드,카카오페이 KB국민 체크카드,체크카드,2010-05-19,2015-05-18,122,7749-78-3083453
3684732525508093,롯데카드,롯데포인트 플러스 체크카드,체크카드,2016-07-31,2021-07-30,122,7749-78-3083453
0448170121225125,하나카드,Young Hana+ 체크카드,체크카드,2023-04-16,2028-04-14,122,7749-78-3083453
3663532165269567,신한카드,신한카드 Pick E 체크 캐릭터형(루피),체크카드,2013-03-26,2018-03-25,122,7749-78-3083453
3618659077983790,BC카드,[BC바로] GOAT BC바로카드,신용카드,2011-02-20,2016-02-19,122,7749-78-3083453
3617576389811567,BC카드,[BC바로] 밥바라밥 페이북머니 체크카드,체크카드,2012-09-28,2017-09-27,119,741997-08-848821
0442846388419489,하나카드,Young Hana+ 체크카드,체크카드,2014-04-30,2019-04-29,119,741997-08-848821
3815793347766094,KB국민카드,삼성페이 KB국민카드,신용카드,2018-10-17,2023-10-16,276,9001-24-4537048
3813281124628765,KB국민카드,삼성페이 KB국민카드,신용카드,2013-08-23,2018-08-22,115,831-859569-92348
3680155272447649,롯데카드,롯데포인트 플러스 체크카드,체크카드,2017-06-26,2022-06-25,115,831-859569-92348
3680473755180383,롯데카드,롯데포인트 플러스 체크카드,체크카드,2024-01-31,2029-01-29,190,618-121238-13-644
3668280813855685,신한카드,신한카드 Pick E 체크 캐릭터형(루피),체크카드,2022-08-19,2027-08-18,190,618-121238-13-644
3817464924255310,KB국민카드,삼성페이 KB국민카드,신용카드,2012-08-04,2017-08-03,190,618-121238-13-644
3616999121394911,BC카드,[BC바로] 밥바라밥 페이북머니 체크카드,체크카드,2015-08-15,2020-08-13,190,618-121238-13-644
3615185520979502,BC카드,[BC바로] GOAT BC바로카드,신용카드,2022-07-23,2027-07-22,266,020-327736-84753
0447959423689950,하나카드,하나 CLUB H 아메리칸 익스프레스 리저브 카드,신용카드,2021-04-17,2026-04-16,266,020-327736-84753
3812301126253157,KB국민카드,삼성페이 KB국민카드,신용카드,2010-02-13,2015-02-12,266,020-327736-84753
