account_no,stock_code
114-54-676040,352820
37259327-018,237690
87110278-040,088980
07868173-591,192080
259517-428809,017670
898-11-715439,051910
345221-335934,000240
5086-8132,007310
41171877-80,025900
20682617-05,005420
41283479-48,066970
374–9320–7439-8,067160
9825-9471,003670
58770203-51,336260
980–3119–6218-8,081660
491–3201–3217-7,281740
663-99-640333,204320
32179418-056,272210
32349681-91,139130
91194168-046,293490
615–6024–9493-4,090430
4756-7624,105560
049–5923–0973-1,005940
17224984-14,207940
22994316-00,004800
922-82-495713,240810
48315467-70,000400
691346-945441,009150
525-54-367003,064760
418–0611–3406-4,005830
61550345-21,069620
945365-763338,001740
876011-745290,035720
416227-994243,033780
624–3845–7089-8,272210
48323716-20,069620
60516966-46,112610
93672354-228,282330
109–3871–7361-3,006280
549791-477974,002790
36030052-24,035720
366-41-435712,068760
176–2732–9331-1,282330
401324-939797,240810
549791-477974,000120
565010-766640,005380
892–0797–0578-8,120110
75524736-561,001440
700–7083–6061-5,112040
205–5492–5385-3,051900
0303-9109,005930
17038329-23,006360
06495874-88,329180
11684466-25,018260
663-99-640333,010950
6033-1280,417200
14599064-157,004990
0363-0435,011170
74503954-279,090430
045058-734381,001740
93232136-295,014820
831334-983196,009240
21692830-23,052690
62153886-738,028670
315752-290695,285130
81428145-58,329180
546539-300908,078600
949–4477–3165-8,047920
2379-0090,112040
3215-6393,098460
307782-878880,328130
562–8321–0989-3,052690
525-54-367003,025900
107982-561868,006280
848–3158–5548-0,145720
120-01-677685,365340
790–4243–4953-2,035900
647-97-272197,180640
20682617-05,161890
250-35-088431,000880
786-07-903519,393890
26638587-087,214450
250–3976–7745-2,016360
033600-280125,035420
93576216-65,017670
3536-3120,036570
3595-1573,138040
2184-9670,079550
27260469-950,005420
3434-1848,067160
2079-8610,068760
032-06-523913,078930
190–2633–6205-0,096770
3373-9477,020150
03355597-75,068270
1132-9572,302440
58060623-55,329180
4895-5581,195940
129-56-801294,323410
147-46-926332,005420
82755515-689,137400
5720-1977,036540
205–5492–5385-3,000250
23906952-43,253450
2559-3347,010140
412-75-037169,214150
4293-3000,214450
9931-8374,000150
4833-0055,000210
98225420-75,166090
44940276-692,066570
7018-6962,328130
9216-9188,005300
951-49-138188,008930
62380504-802,068760
124042-011038,112610
525-54-367003,034220
95786655-89,000990
62441012-95,032830
425–8694–3837-3,010140
906-53-899499,009830
947-27-757179,120110
8055-5195,138930
212525-894683,067160
35967223-626,141080
63684092-64,041510
77657991-31,051900
8150-7704,069620
22601010-07,036460
137-27-322415,307950
259517-428809,011790
8022-8467,000080
75524736-561,041510
368880-820189,009970
281-96-286019,139130
366-41-435712,016360
961–6628–4488-3,272210
8022-8467,008770
81428145-58,009420
721-96-486275,006260
8376-2813,241560
37336133-67,007660
70328436-601,005935
4388-6506,005070
775377-848582,081660
095–0423–7275-8,352820
61550345-21,352820
212525-894683,010060
056–1027–4474-3,161890
9696-1417,007310
2353-2411,010120
25820658-789,010060
794463-544498,032830
787–2064–1450-1,018880
9034-8909,014680
137-27-322415,138930
18242596-303,068760
9034-8909,298040
848–3158–5548-0,003490
535175-006138,028670
287–6687–6121-4,000150
546–7271–9563-4,192820
53645403-00,012510
81428145-58,361610
655887-584850,079550
74503954-279,108320
8376-2813,090430
194–0738–4208-9,035760
119-35-022940,282330
21692830-23,035760
022–0704–3376-7,096530
110–3582–8826-2,030200
879–6537–3395-9,015760
719385-894569,081660
99546275-11,395400
8378-1473,034730
997317-011669,026960
23089154-83,033100
373282-117191,024110
592900-925553,010140
405-79-113430,161890
786-07-903519,003230
9931-8374,007660
898-11-715439,005070
325–8883–1176-8,005850
892–0797–0578-8,000720
988718-074278,003550
285-52-339020,090430
833–2848–8054-7,016360
405-79-113430,137310
989–2611–3525-1,010120
406–0108–6271-3,005935
855961-203492,180640
898-11-715439,098460
176–2732–9331-1,047050
988718-074278,005940
457–1494–0267-6,294870
325–8883–1176-8,141080
5866-7914,213420
7018-6962,010950
478-68-954915,003410
5601-4717,365340
271-26-260768,036570
156–9677–3386-0,001040
21323484-639,073240
38673885-38,039490
94912359-080,000270
1372-3925,294870
691346-945441,096530
616–8850–1939-9,185750
707–5647–4984-8,005070
57703722-844,042660
064–3998–8126-6,034230
1310-7903,004990
04225914-63,293490
471–9068–4432-2,030200
9271-2143,004490
310–7609–5128-8,395400
107982-561868,004990
281–0077–4181-9,012330
4388-6506,010060
603–1960–7103-1,000100
649456-581888,073240
5354-7736,006110
1838-6860,068760
70325339-638,214150
1232-6001,028300
780785-935960,005380
5877-8627,006260
61550345-21,348370
452–5072–0886-1,005380
431–8114–9252-1,195940
2184-9670,196170
352-63-044077,457190
285-52-339020,004990
365–9198–0015-4,005935
461–1760–0555-9,036830
95266979-58,064350
957606-261441,003090
18356749-362,005300
924425-126548,003490
9652-7015,005300
853–6154–3898-5,066570
2184-9670,051910
61377941-723,277810
168-17-097458,145720
791-37-394070,204320
184-36-446637,280360
21233074-982,009970
1232-6001,066570
253–0438–5223-1,402340
62153886-738,180640
944–3598–2550-0,005830
41863502-49,007070
244-35-325816,241560
924425-126548,140410
5060-7352,064350
271-26-260768,009540
65476837-13,326030
9750-2366,005070
26638587-087,417200
212525-894683,000240
525-54-367003,000990
935–1451–2545-4,120110
719385-894569,065350
780-22-410359,051900
765–1037–0720-9,026960
01097423-71,005070
122-20-939201,009240
779–7836–0102-1,036460
4756-7903,000880
090560-973563,011780
7057-9657,051915
6484-2736,241560
5575-7467,041510
647853-610545,051915
139-64-075145,034230
556290-782177,067160
164178-606887,009830
088946-441637,196170
863-96-651283,277810
19897556-06,003550
418–0611–3406-4,003690
06275886-03,036460
974-62-643786,361610
961–4121–8827-7,003490
360–6880–0688-6,003490
53626823-930,353200
44091270-21,237690
456-19-145134,251270
480-30-333809,005070
379838-972893,086520
31496684-203,204320
3225-9937,014820
0303-9109,014820
107982-561868,112040
07532321-168,240810
323188-497035,004020
31843368-465,078600
25633982-468,121600
695-93-559116,010620
360–6880–0688-6,009970
025-70-234415,011070
65647747-78,010620
207–7617–5277-7,138040
288-96-565351,011200
86532979-13,016360
69879837-63,185750
758-10-961519,139480
889–7440–6259-1,039490
615–6024–9493-4,003690
935–1451–2545-4,009150
836332-038054,068760
780785-935960,017860
4378-2795,047040
960-17-231460,005380
03572721-578,073240
375–0690–9868-9,011790
368880-820189,003670
355–5187–7017-0,028050
1147-7226,000810
00594065-78,003410
07426759-71,009150
353322-860832,214370
77104574-44,180640
40208998-91,222800
207–7617–5277-7,003670
8128-1453,001440
4756-7903,003690
632375-428679,008930
885–8277–3291-6,161890
5354-7736,336370
639-88-974791,277810
94788506-61,068760
80211459-64,073240
27260469-950,214450
588535-764609,195940
67378090-575,001120
8128-1453,003670
45066823-188,003230
49348855-95,138930
452–5072–0886-1,030200
11684466-25,034020
3215-6393,383310
526–4982–0130-1,000080
045–4306–5399-6,259960
0080-8432,064350
00594065-78,005290
17038329-23,079550
989–2611–3525-1,064760
464934-390256,035900
241-28-213672,088350
601807-667632,010620
29222309-57,267250
0080-8432,001450
402-27-380980,004170
5490-9188,030000
44447146-187,248070
323188-497035,030200
58000010-73,285130
379-47-760474,052690
879-08-306270,195940
869-08-936273,298380
2184-9670,003670
2353-2411,357780
833–2848–8054-7,365340
27618643-069,002380
2079-8610,004020
281–0077–4181-9,307950
271-21-238996,298050
69940390-265,069960
55176786-814,316140
624–3845–7089-8,058470
647853-610545,001040
858-09-172815,002710
03572721-578,011200
413460-557980,001120
833–2848–8054-7,004020
0666-4982,357780
706-80-042454,377300
6065-7097,005300
93576216-65,028300
6886-2629,280360
738–5135–2434-7,003550
719385-894569,028050
14685876-823,036460
01097423-71,002710
21323484-639,065350
09157354-29,298020
8376-2813,001440
58000010-73,005930
898–1091–7068-2,007070
19897556-06,352820
49316297-836,000880
374–9320–7439-8,068270
02544489-24,026960
092-02-068244,001440
250-35-088431,081660
345826-708036,042670
467416-536245,081660
6960-4949,006400
9300-2542,003620
497-79-481818,028300
466-19-144958,278470
694-47-519343,015760
103–0770–3122-9,103140
6934-1139,120110
848–3158–5548-0,214450
033600-280125,023590
746673-394586,073240
0477-6997,000720
426–6012–2857-8,003090
611540-208606,328130
077–9419–7196-5,042670
70328436-601,402340
2353-2411,006260
40208998-91,095340
694-47-519343,282330
87110278-040,000720
990409-324535,042700
07890618-745,253450
355587-824737,051600
83903637-272,016360
2604-4821,032830
62153886-738,950160
590-33-232369,000210
1232-6001,003230
88964146-502,001570
018475-885599,005387
259080-837415,336370
06141965-589,016360
95266979-58,089860
797117-646248,395400
699–4097–2968-5,282330
1232-6001,277810
262–0920–6342-8,006260
3359-3792,101490
7977-4895,064760
6065-7097,073240
44887696-82,022100
491–3201–3217-7,003670
3709-6175,000210
09157354-29,006280
103–0770–3122-9,005290
863-96-651283,005830
94788506-61,009830
435-56-352463,034730
526–4982–0130-1,009420
500931-051536,068760
214154-622370,263750
163990-515643,090430
721-96-486275,248070
780-22-410359,012330
439-68-064927,010620
797–8832–6230-1,140410
06143721-099,281740
28320714-517,457190
691346-945441,005830
930-90-661065,096530
9271-2143,005850
9931-8374,007070
17038329-23,095340
489-72-229610,034230
49457929-351,058470
69736784-623,282330
435-56-352463,017800
425–8694–3837-3,018880
257–6075–8438-5,003550
456-19-145134,138040
56350641-15,214370
271-26-260768,014680
879-08-306270,377300
40208998-91,336260
55176786-814,029780
787357-133049,180640
413460-557980,078930
373282-117191,251270
33218844-38,029780
969963-624062,357780
122-20-939201,067310
5868-3191,440110
658–1202–9184-8,361610
83903637-272,096530
497-79-481818,067310
2802-9928,383220
60516966-46,012510
358-46-409260,103140
69109881-69,025900
68747522-196,009240
069-66-726397,139480
168-17-097458,051915
5086-8132,015760
44350100-96,015760
433191-625222,073240
235720-830758,010130
2731-2728,001450
209-55-320679,098460
32939048-531,006280
14909997-75,271560
427777-996243,185750
098176-925887,000990
724977-270793,271560
44350100-96,051900
618–3336–2937-3,032640
71890585-02,180640
41171877-80,006040
88020664-28,001120
46044137-197,028300
863-96-651283,108320
33218844-38,097950
2751-1171,280360
36779182-139,010140
658–1202–9184-8,010950
56350641-15,096530
406–0108–6271-3,036460
5993-7091,035420
707–5647–4984-8,028260
271-21-238996,097950
281-96-286019,008770
122-20-939201,000080
62380504-802,017800
26118039-624,034230
458-66-048596,096530
592900-925553,028050
018475-885599,029780
470042-302422,000400
948880-122494,000100
446-18-547257,323410
858328-177307,293490
379838-972893,180640
924425-126548,015760
439-68-064927,272210
93518844-893,145720
505–9870–6272-5,185750
974-06-379210,036830
869-08-936273,121600
889–9110–4068-9,051600
2534-3021,195940
797117-646248,139130
6784-3729,195870
61003609-076,001740
901–1073–0397-9,001450
647-97-272197,145020
602–3194–4722-4,005070
0363-0435,138930
0372-8394,454910
288-96-565351,002790
4293-3000,000660
4895-5581,018260
951-49-138188,005850
287694-006381,241560
4756-7903,003550
015-87-741911,138040
464934-390256,035760
582-07-993607,251270
234383-793053,017670
418–0611–3406-4,298050
841547-591835,024110
353322-860832,105560
9825-9471,001440
238959-979328,214370
30265088-30,042670
618–3336–2937-3,003230
122-20-939201,088980
9120-1673,457190
33218844-38,140860
22307609-44,009420
6545-3013,005935
06141965-589,294870
721-96-486275,006040
647853-610545,003550
095–0423–7275-8,004370
1372-3925,383220
7057-9657,005940
045–4306–5399-6,139130
07532321-168,000660
8666-5524,039490
025-70-234415,259960
110-23-630835,139130
4388-6506,039490
420085-661975,047810
69940390-265,067310
1787-6521,005935
65647747-78,024110
3434-1848,003090
015-37-868273,005380
1591-4147,003690
375–0690–9868-9,032640
19115633-608,253450
853–6154–3898-5,020150
205–5331–1785-9,024110
17038329-23,001440
07868173-591,105560
06495874-88,014680
505–9870–6272-5,007070
831334-983196,023530
83008780-767,002380
797117-646248,017800
103–0770–3122-9,086900
797–8832–6230-1,014820
100–2356–8600-7,004000
09533935-668,005300
781–3221–0927-8,161890
982313-924393,012450
8116-5787,000250
906-53-899499,006360
35324396-712,095340
775377-848582,298040
3595-1573,373220
04786625-909,047040
96447423-08,028300
7977-4895,078930
69940390-265,032640
06143721-099,034220
889–9110–4068-9,078930
624–3845–7089-8,028670
124281-326338,005290
77928677-030,222800
346–2511–0236-0,028260
30265088-30,058470
14599064-157,121600
943-44-271558,067310
72481549-32,005930
470042-302422,000150
542-24-809860,383220
271-21-238996,180640
27895971-919,008770
927-04-287479,088980
32527268-129,047050
26118039-624,000810
341–7669–0156-0,026960
55176786-814,003090
37336133-67,073240
17791390-285,028260
1541-8941,395400
547-96-990197,009830
76573514-730,361610
406–0108–6271-3,298380
9120-1673,010120
207–7617–5277-7,222800
35269426-743,001740
547-96-990197,377300
465–5873–5766-3,000080
5866-7914,018880
31843368-465,000080
500997-002208,008930
876011-745290,248070
17791390-285,065350
88964146-502,141080
8116-5787,277810
2604-4821,052690
194–0738–4208-9,011070
056–1027–4474-3,280360
932912-751043,138040
55176786-814,036460
978365-600759,035250
54986895-890,003670
26118039-624,298020
5988-3968,009420
974-62-643786,086280
22307609-44,051600
077–9419–7196-5,005420
38673885-38,006800
90300518-16,001570
8206-0953,014820
0343-4625,012750
045–4306–5399-6,440110
31224040-11,012510
906840-364420,035250
5283-5937,039030
922-83-065312,298050
09533935-668,298040
452–5072–0886-1,026960
85005738-24,000210
84014318-87,041510
852-18-831177,022100
975-04-776987,000270
3434-1848,010140
2075-4004,232140
119-35-022940,039130
44091270-21,068760
6145-7411,375500
7222-8217,271560
435-56-352463,383220
402-27-380980,030000
250–3976–7745-2,214370
69109881-69,120110
0477-6997,010620
423-57-633886,024110
032-06-523913,161890
869-08-936273,012450
06141965-589,139130
66983203-516,271560
546539-300908,012750
40208998-91,002380
86608602-410,009420
145013-092661,004020
544–1128–6222-4,096530
458-66-048596,030200
752–1267–4281-1,259960
345826-708036,018260
87110278-040,018670
804–2598–2677-6,000990
209-55-320679,004370
241-84-312030,078930
271608-274369,010060
848–3158–5548-0,353200
449-36-583547,010060
732–4973–2079-3,001040
658–1202–9184-8,000270
9750-2366,033780
986-27-660389,001040
3800-5619,393890
412-75-037169,112610
61377941-723,051900
471–9068–4432-2,006040
5744-0125,065350
838314-692137,031980
9226-8744,086790
32939048-531,042660
814275-443277,071050
4546-5316,009150
478-68-954915,281740
147-46-926332,196170
9750-2366,051915
31224040-11,098460
99553245-649,006400
645-58-015321,051900
858328-177307,139480
00144528-368,078600
814275-443277,002380
079-29-925009,005387
377-81-712364,145720
86608602-410,005930
044961-978299,105560
786-07-903519,000100
738–5135–2434-7,016360
975-04-776987,004170
100–2356–8600-7,000080
608005-007793,112610
65476837-13,005830
738–5135–2434-7,036540
04225914-63,067160
922-82-495713,353200
069-66-726397,180640
40641290-281,005385
402-27-380980,023530
9300-2542,196170
7101-6501,002380
25129677-595,009540
79825161-85,066970
1132-9572,138040
8022-8467,277810
341–7669–0156-0,375500
360–6880–0688-6,036830
55936753-07,178320
124042-011038,240810
119-35-022940,067160
06264867-86,004020
03355597-75,005490
207–7617–5277-7,028670
18296934-099,034020
941348-199285,047810
277–9206–3753-1,020150
21692830-23,000660
458-66-048596,011780
4878-8684,014680
63684092-64,002380
44350100-96,139480
1232-6001,035420
544–1128–6222-4,329180
079-29-925009,028260
09157354-29,166090
58000010-73,042670
44091270-21,036540
69940390-265,039030
45732095-476,272210
190–3600–1671-0,003670
92518861-536,138930
668-67-619272,267260
235720-830758,020150
58000010-73,032830
9652-7015,259960
092–1787–1106-3,352820
0666-4982,112610
379838-972893,003550
988718-074278,267260
74503954-279,348370
137-27-322415,000120
7977-4895,006360
655887-584850,316140
6960-4949,373220
88964146-502,373220
306-44-788899,096530
879–6537–3395-9,010140
358-46-409260,000990
6134-8260,003620
20264304-812,005830
10147790-77,047040
549791-477974,067310
139-64-075145,012510
608005-007793,007310
73343563-058,145020
9807-8795,326030
941348-199285,034230
33218844-38,298040
724977-270793,323410
655887-584850,086520
58000010-73,281740
957–3012–5720-7,051910
26118039-624,222800
9292-8478,006040
86608602-410,175330
9271-2143,002380
35951516-802,090430
565–9049–7951-6,247540
5490-9188,328130
887-57-043405,007310
8128-1453,008930
00594065-78,051900
124–0930–8448-4,348370
368880-820189,097950
4378-2795,007660
23906952-43,078600
58060623-55,051600
057177-785186,067310
42679703-53,105560
865–2221–8948-1,032830
08376139-511,011070
31843368-465,047040
380–3880–9627-6,112610
353322-860832,066570
3359-3792,009520
59859971-89,267260
84714210-94,005070
837-19-308128,009150
500931-051536,030000
45066823-188,032830
11065997-06,011170
07532321-168,237690
9931-8374,353200
467416-536245,137400
23906952-43,017800
2802-9928,175330
400806-738750,008770
383524-881209,128940
020311-496729,064350
351487-717069,003410
830646-493086,047920
4293-3000,298040
21233074-982,095340
86392216-60,005420
480-30-333809,003090
348-99-410115,010120
668-67-619272,078600
3540-4286,047050
724977-270793,336370
59859971-89,005387
2751-1171,237690
549791-477974,014680
19115633-608,039490
20264304-812,108320
124042-011038,012330
831334-983196,096770
695–8007–2025-2,457190
1787-6521,402340
480-30-333809,036460
22601010-07,042700
60035526-57,067160
109–3871–7361-3,036570
36030052-24,079550
17791390-285,005490
02373826-37,213420
213-03-283421,267260
60516966-46,004990
989–2611–3525-1,000150
100–2356–8600-7,285130
03572721-578,103140
68747522-196,009420
807–7413–4523-9,005385
18242596-303,282330
8128-1453,138040
420085-661975,241560
84753446-40,000810
863-96-651283,006280
2314-4394,298040
017-70-578764,001450
833–2848–8054-7,003410
8376-2813,000660
988718-074278,001720
35324396-712,071050
377-81-712364,196170
797117-646248,393890
615–6024–9493-4,247540
549791-477974,277810
898-11-715439,006110
95786655-89,015760
213-03-283421,005387
4008-2360,026960
695-93-559116,192820
947-27-757179,042670
941348-199285,039200
547-96-990197,051600
29460992-82,005387
0372-8394,180640
32939048-531,001040
29739358-897,023590
618–3336–2937-3,001740
23089154-83,047920
525-54-367003,035420
45066823-188,277810
4293-3000,004370
855961-203492,298380
93232136-295,006280
098425-572739,011200
467416-536245,253450
41283479-48,065350
470042-302422,137310
88020664-28,281740
09533935-668,023530
06275886-03,096770
6934-1139,078930
478-68-954915,018670
8378-1473,014820
91194168-046,028050
2075-4004,034220
2604-4821,041510
961–4121–8827-7,307950
2075-4004,047040
2559-3347,034730
23249341-35,214150
71890585-02,000210
46044137-197,012750
109–3871–7361-3,140860
858-09-172815,237690
07532321-168,011200
47646559-174,034230
213-03-283421,028260
47646559-174,024110
339494-950350,161390
164178-606887,058470
0372-8394,036460
046–3316–3135-9,336260
079-29-925009,012450
04786625-909,026960
974-62-643786,020150
421927-510305,012330
05014884-62,328130
4714-8806,011790
965–6909–4676-4,253450
212525-894683,088350
724977-270793,030000
078–4096–2542-7,402340
791-37-394070,012750
90542495-945,006260
418–0611–3406-4,005300
045058-734381,036830
974-06-379210,047920
997317-011669,007660
860677-355912,010140
416390-318912,005490
947-27-757179,039200
348-99-410115,375500
27177661-14,096770
078–4096–2542-7,005490
37563387-11,012330
250-35-088431,003550
6545-3013,259960
209-55-320679,271560
159007-322083,005385
380–6921–3279-7,086790
420085-661975,009970
4293-3000,204320
592900-925553,001120
99553245-649,383310
856-47-723955,012450
1787-6521,214370
50901884-154,029780
00594065-78,047050
14685876-823,036540
8116-5787,085620
59136542-261,098460
252-91-175889,011070
287694-006381,010140
02544489-24,098460
99686668-30,010130
88110639-254,004370
41171877-80,006400
033600-280125,003550
060–2912–8422-8,014680
541–3132–0225-2,006110
47646559-174,015760
5868-3191,105560
700–4796–6416-1,006260
3373-9477,004490
250-35-088431,267260
647-97-272197,088350
345826-708036,001570
435-56-352463,034220
88020664-28,195870
25633982-468,120110
416257-975923,051910
906840-364420,006040
71890585-02,278470
93672354-228,348370
205–5492–5385-3,004800
655887-584850,009540
17038329-23,028260
92917054-10,298040
03733449-05,024110
37616231-79,004020
49348855-95,140860
1153-4298,454910
402-27-380980,214150
095–0423–7275-8,214370
271-21-238996,352820
33160982-830,006110
852-18-831177,248070
957–3012–5720-7,098460
037–4299–3003-8,000150
00144528-368,089030
78445365-349,009830
83008780-767,403870
4387-5235,016360
9034-8909,108320
889–7440–6259-1,035720
07426759-71,026960
5060-7352,017800
435-56-352463,051600
833–2848–8054-7,005930
35967223-626,214370
65647747-78,138930
65647747-78,035760
765–1037–0720-9,006280
75524736-561,088350
306-44-788899,051600
459–9083–1949-7,030000
4833-0055,005380
271608-274369,029780
02544489-24,004490
500997-002208,084370
11929801-04,096530
2650-3802,064350
707-06-670577,035420
5877-8627,003670
624–3845–7089-8,011200
458-66-048596,089030
694-47-519343,207940
93518844-893,005385
18242596-303,047050
1372-3925,000990
81428145-58,006360
92917054-10,294870
505–9870–6272-5,352820
07829656-64,016360
32179418-056,003550
602–3194–4722-4,007070
751–0674–3749-3,032640
503-26-176979,140410
616–8850–1939-9,237690
163990-515643,005850
84714210-94,454910
436–4521–1695-4,377300
808–8199–9176-0,112610
767674-458974,069620
077–9419–7196-5,002710
379-47-760474,336260
341–7669–0156-0,161890
81604242-557,454910
8206-0953,018670
2731-2728,055550
21042763-309,000120
380–3880–9627-6,022100
11065997-06,000100
98806970-48,329180
2184-9670,259960
860677-355912,323410
9300-2542,293490
546–7271–9563-4,259960
858328-177307,006400
948880-122494,067160
989–2611–3525-1,003490
4546-5316,047050
5866-7914,204320
565010-766640,034230
276766-469489,395400
1787-6521,014680
65476837-13,051900
47646559-174,058470
69109881-69,285130
423-57-633886,095340
288-96-565351,023530
14599064-157,323410
11684466-25,003550
647-97-272197,023530
0080-8432,036930
400806-738750,175330
1400-3329,066970
797117-646248,017860
026-01-021802,005850
898–1091–7068-2,247540
758-10-961519,140860
015-37-868273,009830
6960-4949,006110
666–9916–0037-7,214370
6033-1280,036460
30265088-30,214450
72481549-32,039200
287–6687–6121-4,271560
76690231-791,271560
765–1037–0720-9,081660
99553245-649,307950
84753446-40,251270
0477-6997,034020
880-75-105745,011070
1591-4147,033780
032-06-523913,000240
1915-4293,003230
27618643-069,004370
271608-274369,039490
68747522-196,000990
1787-6521,005380
669–6108–3331-5,298050
9825-9471,348370
789-60-751229,068760
060900-438114,017670
27895971-919,047810
00144528-368,032640
2731-2728,005290
8022-8467,014820
092–1787–1106-3,002380
245094-921679,004020
237439-130647,030000
124281-326338,393890
556290-782177,088350
21762818-62,035760
044961-978299,282330
194358-544073,002710
562–8321–0989-3,253450
015-37-868273,032640
83903637-272,007310
1787-6521,365340
256835-098321,012330
836655-368046,000810
889–9110–4068-9,018670
17038329-23,018880
045–4306–5399-6,039030
5866-7914,030000
379838-972893,004170
60909497-805,329180
116-34-532628,028260
364223-020823,178320
65647747-78,012510
049–5923–0973-1,042700
31496684-203,035420
863-96-651283,035760
056–1027–4474-3,003550
005-14-498113,039030
11684466-25,316140
9120-1673,011170
797117-646248,263750
2353-2411,004800
1541-8941,010130
245094-921679,285130
03355597-75,450080
69109881-69,022100
402-27-380980,365340
33218844-38,403870
830646-493086,030000
06495874-88,112610
259080-837415,365550
81604242-557,251270
889–7440–6259-1,014680
145013-092661,086790
927-04-287479,086280
1132-9572,316140
42393350-99,006040
60909497-805,294870
3592-5373,112610
765–1037–0720-9,086520
389–0705–9923-8,067310
37563387-11,185750
018475-885599,326030
658–1202–9184-8,175330
831334-983196,140410
3976-5453,137310
669–6108–3331-5,352820
04225914-63,039490
500931-051536,010120
81604242-557,086520
6907-2128,036570
6907-2128,373220
3215-6393,068760
3359-3792,086280
500997-002208,352820
695–8007–2025-2,357780
33160982-830,010950
107982-561868,137400
915-22-424118,006280
84753446-40,028670
944–3598–2550-0,034020
93232136-295,008930
18356749-362,326030
10147790-77,051900
2731-2728,039030
25516338-81,088350
159007-322083,056190
374–9320–7439-8,393890
3359-3792,112610
6886-2629,004000
022–0704–3376-7,138040
97308216-723,361610
41863502-49,267260
439-68-064927,138930
190–3600–1671-0,004990
143531-214935,375500
3692-4297,357780
372-60-842991,259960
64729240-98,195940
6145-7411,011210
4293-3000,403870
44447146-187,298050
9807-8795,009420
083492-288398,195940
6784-3729,000240
001-63-550645,008930
8150-7704,298040
565010-766640,002710
58770203-51,120110
07890618-745,012750
461–1760–0555-9,035720
9931-8374,071050
23249341-35,051600
5993-7091,399720
840793-927913,240810
765–1037–0720-9,095340
2802-9928,281740
30265088-30,293490
855961-203492,069960
848–3158–5548-0,011200
72481549-32,145720
091516-456453,329180
66983203-516,011790
9667-9971,005935
386160-657670,010950
61550345-21,204320
831334-983196,108320
885–8277–3291-6,005385
449-36-583547,098460
7101-6501,402340
60909497-805,017670
375–0690–9868-9,375500
346–2511–0236-0,030000
457–1494–0267-6,009830
1232-6001,272210
781–3221–0927-8,185750
026-01-021802,033100
974-62-643786,003620
250-35-088431,009540
277-26-535094,016360
1400-3329,298380
748–1450–6538-8,004990
9807-8795,005930
889–9110–4068-9,108320
99546275-11,067310
21323484-639,035720
980–3119–6218-8,010950
88964146-502,139130
06141965-589,039030
7294-7868,192820
786-07-903519,011210
056–1027–4474-3,121600
276766-469489,086900
91763491-88,003550
658–1202–9184-8,302440
797–8832–6230-1,012510
789-60-751229,096770
374–9320–7439-8,055550
